Entity,Code,Year,Freedom of the Press
Argentina,ARG,1979,0
Argentina,ARG,1985,2
Argentina,ARG,1990,2
Argentina,ARG,1995,1
Argentina,ARG,2000,1
Argentina,ARG,2005,1
Argentina,ARG,2010,1
Argentina,ARG,2016,1
Australia,AUS,1979,2
Australia,AUS,1985,2
Australia,AUS,1990,2
Australia,AUS,1995,2
Australia,AUS,2000,2
Australia,AUS,2005,2
Australia,AUS,2010,2
Australia,AUS,2016,2
Botswana,BWA,1979,1
Botswana,BWA,1985,1
Botswana,BWA,1990,2
Botswana,BWA,1995,2
Botswana,BWA,2000,2
Botswana,BWA,2005,1
Botswana,BWA,2010,1
Botswana,BWA,2016,1
China,CHN,1979,0
China,CHN,1985,0
China,CHN,1990,0
China,CHN,1995,0
China,CHN,2000,0
China,CHN,2005,0
China,CHN,2010,0
China,CHN,2016,0
