Entity,Code,Year,PCV3 (% of one-year-olds immunized)
African Region (WHO),,2008,0
African Region (WHO),,2010,3
African Region (WHO),,2012,22
African Region (WHO),,2014,47
African Region (WHO),,2016,67
African Region (WHO),,2018,70
African Region (WHO),,2020,68
African Region (WHO),,2021,66
Eastern Mediterranean Region (WHO),,2008,0
Eastern Mediterranean Region (WHO),,2010,5
Eastern Mediterranean Region (WHO),,2012,11
Eastern Mediterranean Region (WHO),,2014,46
Eastern Mediterranean Region (WHO),,2016,51
Eastern Mediterranean Region (WHO),,2018,55
Eastern Mediterranean Region (WHO),,2020,55
Eastern Mediterranean Region (WHO),,2021,54
European Region (WHO),,2008,8
European Region (WHO),,2010,37
European Region (WHO),,2012,43
European Region (WHO),,2014,46
European Region (WHO),,2016,56
European Region (WHO),,2018,78
European Region (WHO),,2020,80
European Region (WHO),,2021,82
Region of the Americas (WHO),,2008,29
Region of the Americas (WHO),,2010,51
Region of the Americas (WHO),,2012,77
Region of the Americas (WHO),,2014,83
Region of the Americas (WHO),,2016,82
Region of the Americas (WHO),,2018,82
Region of the Americas (WHO),,2020,76
Region of the Americas (WHO),,2021,74
South-East Asia Region (WHO),,2008,0
South-East Asia Region (WHO),,2010,0
South-East Asia Region (WHO),,2012,0
South-East Asia Region (WHO),,2014,0
South-East Asia Region (WHO),,2016,9
South-East Asia Region (WHO),,2018,17
South-East Asia Region (WHO),,2020,28
South-East Asia Region (WHO),,2021,29
Western Pacific Region (WHO),,2008,1
Western Pacific Region (WHO),,2010,1
Western Pacific Region (WHO),,2012,5
Western Pacific Region (WHO),,2014,9
Western Pacific Region (WHO),,2016,12
Western Pacific Region (WHO),,2018,14
Western Pacific Region (WHO),,2020,19
Western Pacific Region (WHO),,2021,19
