Entity,Code,Year,Daily caloric supply (OWID based on UN FAO & historical sources)
Brazil,BRA,1947,2245.0
Brazil,BRA,1970,2405.0
Brazil,BRA,1980,2698.0
Brazil,BRA,1990,2719.0
Brazil,BRA,2000,2880.0
Brazil,BRA,2010,3230.0
Brazil,BRA,2018,3301.0
China,CHN,1947,2115.0
China,CHN,1960,1453.0
China,CHN,1970,1840.0
China,CHN,1980,2146.0
China,CHN,1990,2504.0
China,CHN,2000,2808.0
China,CHN,2010,3044.0
China,CHN,2018,3206.0
Greece,GRC,1947,2266.0
Greece,GRC,1970,3146.0
Greece,GRC,1980,3195.0
Greece,GRC,1990,3540.0
Greece,GRC,2000,3602.0
Greece,GRC,2010,3442.0
Greece,GRC,2018,3382.0
India,IND,1947,1685.0
India,IND,1970,2111.0
India,IND,1980,1994.0
India,IND,1990,2205.0
India,IND,2000,2380.0
India,IND,2010,2442.0
India,IND,2018,2533.0
Kenya,KEN,1970,2300.0
Kenya,KEN,1980,2293.0
Kenya,KEN,1990,2043.0
Kenya,KEN,2000,2049.0
Kenya,KEN,2010,2160.0
Kenya,KEN,2018,2197.0
Uganda,UGA,1970,2415.0
Uganda,UGA,1980,2046.0
Uganda,UGA,1990,2330.0
Uganda,UGA,2000,2267.0
Uganda,UGA,2010,2200.0
Uganda,UGA,2018,1981.0
United States,USA,1947,3244.0
United States,USA,1970,3029.0
United States,USA,1980,3178.0
United States,USA,1990,3493.0
United States,USA,2000,3755.0
United States,USA,2010,3650.0
United States,USA,2018,3782.0
World,OWID_WRL,1970,2385.392969788913
World,OWID_WRL,1980,2486.548460401027
World,OWID_WRL,1990,2618.896486780808
World,OWID_WRL,2000,2726.735689641277
World,OWID_WRL,2010,2847.6774489610025
World,OWID_WRL,2018,2928.399523487201
