Entity,Code,Year,battery_electric_number,plugin_hybrid_number,full_mild_hybrid_number,petrol_number,diesel_gas_number
Ireland,IRL,2001,0.0,0.0,19.07941399,143493.2601,21060.66051
Ireland,IRL,2002,0.0,0.0,9.039324324,130663.4331,25406.52757
Ireland,IRL,2004,0.0,0.0,241.079207,125102.0275,28792.89329
Ireland,IRL,2006,0.0,0.0,609.8553896,133666.1891,44206.95556
Ireland,IRL,2008,0.0,0.0,1195.167767,96521.38605,53899.44618
Ireland,IRL,2010,17.26469405,0.0,682.4632002,28628.92502,59051.34708
Ireland,IRL,2012,137.0,0.0,645.0,19349.0,59367.0
Ireland,IRL,2014,227.3823377,29.0488449,1006.692728,24354.95224,70725.92385
Ireland,IRL,2016,392.2461572,300.1883856,2569.612581,40850.63614,102487.3167
Ireland,IRL,2018,1233.432242,679.2380311,7037.466199,48370.95104,68235.91249
Ireland,IRL,2019,3444.971077,1287.736792,10622.07753,47394.2146,54351.0
