Entity,Code,Year,"Deaths that are from drug use disorders per 100,000 people, in both sexes aged 15-49 years"
Congo,COG,1990,0.64754146
Congo,COG,1995,0.7544589
Congo,COG,2000,0.6644974
Congo,COG,2005,0.5764163
Congo,COG,2010,0.56859255
Congo,COG,2015,0.5991501
Congo,COG,2019,0.6187112
Gabon,GAB,1990,0.5557382
Gabon,GAB,1995,0.7167456
Gabon,GAB,2000,0.6962376
Gabon,GAB,2005,0.67300165
Gabon,GAB,2010,0.66613054
Gabon,GAB,2015,0.68649983
Gabon,GAB,2019,0.7198014
Malta,MLT,1990,1.0135565
Malta,MLT,1995,1.680832
Malta,MLT,2000,1.9249896
Malta,MLT,2005,2.1174011
Malta,MLT,2010,2.6326697
Malta,MLT,2015,2.8550854
Malta,MLT,2019,3.245242
Suriname,SUR,1990,0.1877129
Suriname,SUR,1995,0.57281566
Suriname,SUR,2000,1.1505916
Suriname,SUR,2005,0.99284494
Suriname,SUR,2010,0.7814373
Suriname,SUR,2015,0.7379058
Suriname,SUR,2019,0.9085608
Wales,,1990,2.2615583
Wales,,1995,3.7091053
Wales,,2000,5.7501006
Wales,,2005,6.3764915
Wales,,2010,7.9413214
Wales,,2015,9.01393
Wales,,2019,10.050087
