Entity,Code,Year,Deaths - Self-harm - Sex: Both - Age: All Ages (Number)
Argentina,ARG,1990,2758
Argentina,ARG,1995,3496
Argentina,ARG,2000,4394
Argentina,ARG,2005,4283
Argentina,ARG,2010,4584
Argentina,ARG,2015,4773
Argentina,ARG,2019,5029
Australia,AUS,1990,2342
Australia,AUS,1995,2533
Australia,AUS,2000,2584
Australia,AUS,2005,2358
Australia,AUS,2010,2667
Australia,AUS,2015,3010
Australia,AUS,2019,2898
Bangladesh,BGD,1990,10883
Bangladesh,BGD,1995,10700
Bangladesh,BGD,2000,9382
Bangladesh,BGD,2005,8341
Bangladesh,BGD,2010,8133
Bangladesh,BGD,2015,6857
Bangladesh,BGD,2019,7365
Canada,CAN,1990,4086
Canada,CAN,1995,4412
Canada,CAN,2000,4356
Canada,CAN,2005,4301
Canada,CAN,2010,4442
Canada,CAN,2015,4834
Canada,CAN,2019,4699
Ethiopia,ETH,1990,5877
Ethiopia,ETH,1995,6111
Ethiopia,ETH,2000,5900
Ethiopia,ETH,2005,5578
Ethiopia,ETH,2010,5361
Ethiopia,ETH,2015,5088
Ethiopia,ETH,2019,5655
Greece,GRC,1990,439
Greece,GRC,1995,423
Greece,GRC,2000,427
Greece,GRC,2005,437
Greece,GRC,2010,484
Greece,GRC,2015,522
Greece,GRC,2019,500
