Entity,Code,Year,State capacity estimate
Bolivia,BOL,1985,-0.5081
Bolivia,BOL,1990,-0.5057
Bolivia,BOL,1995,-0.01517
Bolivia,BOL,2000,0.2261
Bolivia,BOL,2005,0.3204
Bolivia,BOL,2010,0.201
Bolivia,BOL,2015,0.5021
Cambodia,KHM,1985,-0.8911
Cambodia,KHM,1990,-0.9429
Cambodia,KHM,1995,-1.303
Cambodia,KHM,2000,-0.7879
Cambodia,KHM,2005,-0.5479
Cambodia,KHM,2010,-0.2116
Cambodia,KHM,2015,-0.05512
Egypt,EGY,1985,0.01148
Egypt,EGY,1990,-0.1727
Egypt,EGY,1995,-0.1152
Egypt,EGY,2000,-0.04754
Egypt,EGY,2005,0.1904
Egypt,EGY,2010,0.1463
Egypt,EGY,2015,0.2569
Germany,DEU,1990,1.803
Germany,DEU,1995,2.069
Germany,DEU,2000,1.908
Germany,DEU,2005,1.867
Germany,DEU,2010,2.007
Germany,DEU,2015,2.301
Uganda,UGA,1985,-1.485
Uganda,UGA,1990,-0.7865
Uganda,UGA,1995,-0.1676
Uganda,UGA,2000,0.1093
Uganda,UGA,2005,0.2803
Uganda,UGA,2010,0.3519
Uganda,UGA,2015,0.3691
Vietnam,VNM,1985,-0.08254
Vietnam,VNM,1990,-0.1516
Vietnam,VNM,1995,0.1363
Vietnam,VNM,2000,0.4842
Vietnam,VNM,2005,0.3863
Vietnam,VNM,2010,0.5389
Vietnam,VNM,2015,0.7557
