Entity,Code,Year,Solar and wind per capita (kWh - equivalent)
Chile,CHL,1965,0.0
Chile,CHL,1970,0.0
Chile,CHL,1980,0.0
Chile,CHL,1990,0.0
Chile,CHL,2000,0.0
Chile,CHL,2010,53.102753
Chile,CHL,2022,3168.1638
Colombia,COL,1965,0.0
Colombia,COL,1970,0.0
Colombia,COL,1980,0.0
Colombia,COL,1990,0.0
Colombia,COL,2000,0.13836777
Colombia,COL,2010,2.388737
Colombia,COL,2022,29.023046
Czechia,CZE,1965,0.0
Czechia,CZE,1970,0.0
Czechia,CZE,1980,0.0
Czechia,CZE,1990,0.0
Czechia,CZE,2000,0.0
Czechia,CZE,2010,252.28665
Czechia,CZE,2022,729.6327
Mexico,MEX,1965,0.0
Mexico,MEX,1970,0.0
Mexico,MEX,1980,0.0
Mexico,MEX,1990,0.07236869
Mexico,MEX,2000,0.78552145
Mexico,MEX,2010,31.326921
Mexico,MEX,2022,809.52655
Netherlands,NLD,1965,0.0
Netherlands,NLD,1970,0.0
Netherlands,NLD,1980,0.0
Netherlands,NLD,1990,11.080385
Netherlands,NLD,2000,155.61487
Netherlands,NLD,2010,676.89417
Netherlands,NLD,2022,5763.4087
Oceania,,1965,0.0
Oceania,,1970,0.0
Oceania,,1980,0.0
Oceania,,1990,0.0
Oceania,,2000,28.502253
Oceania,,2010,568.8078
Oceania,,2022,4262.5933
Poland,POL,1965,0.0
Poland,POL,1970,0.0
Poland,POL,1980,0.0
Poland,POL,1990,0.0
Poland,POL,2000,0.3839803
Poland,POL,2010,119.660095
Poland,POL,2022,1803.9315
Syria,SYR,1970,0.0
Syria,SYR,1980,0.0
Syria,SYR,1990,0.0
Syria,SYR,2000,0.0
Syria,SYR,2010,0.0
Syria,SYR,2022,0.0
