Entity,Code,Year,Rice | 00000027 || Production | 005510 || tonnes
Brazil,BRA,1961,5392477.0
Brazil,BRA,1970,7553083.0
Brazil,BRA,1980,9775720.0
Brazil,BRA,1990,7420931.0
Brazil,BRA,2000,11134588.0
Brazil,BRA,2010,11235986.0
Brazil,BRA,2021,11660603.0
China,CHN,1961,53640000.0
China,CHN,1970,109990000.0
China,CHN,1980,139910000.0
China,CHN,1990,189331000.0
China,CHN,2000,187908000.0
China,CHN,2010,195761000.0
China,CHN,2021,212843000.0
India,IND,1961,53494496.0
India,IND,1970,63337810.0
India,IND,1980,80312000.0
India,IND,1990,111517410.0
India,IND,2000,127464900.0
India,IND,2010,143963000.0
India,IND,2021,195425000.0
Russia,RUS,2000,584312.0
Russia,RUS,2010,1060658.0
Russia,RUS,2021,1076411.5
United States,USA,1961,2458000.0
United States,USA,1970,3801311.0
United States,USA,1980,6629250.0
United States,USA,1990,7080000.0
United States,USA,2000,8657810.0
United States,USA,2010,11027010.0
United States,USA,2021,8699720.0
