Entity,Code,Year,Electric cars sold
China,CHN,2010,1440
China,CHN,2012,9860
China,CHN,2014,73000
China,CHN,2016,339000
China,CHN,2018,1090000
China,CHN,2020,1140000
China,CHN,2022,5900000
European Union (27),,2010,1409
European Union (27),,2012,19300
European Union (27),,2014,56000
European Union (27),,2016,118000
European Union (27),,2018,240000
European Union (27),,2020,1050000
European Union (27),,2022,1980000
United States,USA,2012,54000
United States,USA,2014,118000
United States,USA,2016,160000
United States,USA,2018,360000
United States,USA,2020,294000
United States,USA,2022,990000
World,OWID_WRL,2010,7570
World,OWID_WRL,2012,118000
World,OWID_WRL,2014,330000
World,OWID_WRL,2016,750000
World,OWID_WRL,2018,2050000
World,OWID_WRL,2020,2970000
World,OWID_WRL,2022,10200000
