Entity,Code,Year,Competitive elections
Ireland,IRL,1920,0
Ireland,IRL,1940,1
Ireland,IRL,1960,1
Ireland,IRL,1980,1
Ireland,IRL,2000,1
Ireland,IRL,2015,1
Ireland,IRL,2022,1
Lesotho,LSO,1900,0
Lesotho,LSO,1920,0
Lesotho,LSO,1940,0
Lesotho,LSO,1960,0
Lesotho,LSO,1980,0
Lesotho,LSO,2000,0
Lesotho,LSO,2015,1
Lesotho,LSO,2022,1
Mongolia,MNG,1920,0
Mongolia,MNG,1940,0
Mongolia,MNG,1960,0
Mongolia,MNG,1980,0
Mongolia,MNG,2000,1
Mongolia,MNG,2015,1
Mongolia,MNG,2022,1
New Zealand,NZL,1841,0
New Zealand,NZL,1860,0
New Zealand,NZL,1880,1
New Zealand,NZL,1900,1
New Zealand,NZL,1920,1
New Zealand,NZL,1940,1
New Zealand,NZL,1960,1
New Zealand,NZL,1980,1
New Zealand,NZL,2000,1
New Zealand,NZL,2015,1
New Zealand,NZL,2022,1
