Entity,Code,Year,"Prevalence of HIV, female (% ages 15-24)","Prevalence of HIV, male (% ages 15-24)",Continent,Population (historical estimates)
Africa,,2021,,,,1393676724.0
Asia,,2021,,,,4693332132.0
Botswana,BWA,2021,6.6,3.5,,2588424.0
Congo,COG,2021,3.3,0.7,,5835814.0
Cote d'Ivoire,CIV,2021,0.8,0.5,,27478250.0
Equatorial Guinea,GNQ,2021,3.2,1.4,,1634473.0
Eswatini,SWZ,2021,12.6,4.0,,1192273.0
Europe,,2021,,,,746417727.0
European Union (27),,2021,,,,445051201.0
Guinea-Bissau,GNB,2021,1.2,0.7,,2060730.0
Kenya,KEN,2021,2.1,1.2,,53005616.0
Lesotho,LSO,2021,8.9,3.9,,2281464.0
Malawi,MWI,2021,3.2,1.8,,19889742.0
Namibia,NAM,2021,6.1,2.7,,2530150.0
North America,,2021,,,,597123384.0
Oceania,,2021,,,,44492065.0
South Africa,ZAF,2021,9.1,3.0,,59392256.0
South America,,2021,,,,434254167.0
Tanzania,TZA,2021,1.9,1.0,,63588332.0
World,OWID_WRL,2021,0.4,0.2,,7909295104.0
Zambia,ZMB,2021,5.0,2.0,,19473132.0
Zimbabwe,ZWE,2021,4.7,2.6,,15993525.0
