Entity,Code,Year,Cantril ladder score,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2022,1.859,,,
Bangladesh,BGD,2022,4.2821,,,
Benin,BEN,2022,4.3737,,,
Bolivia,BOL,2022,5.6843,,,
Botswana,BWA,2022,3.4353,,,
Brazil,BRA,2022,6.1246,,,
Cameroon,CMR,2022,4.9732,,,
Canada,CAN,2022,6.9607,,,
Chile,CHL,2022,6.3338,,,
China,CHN,2022,5.8179,,,
Costa Rica,CRI,2022,6.6085,,,
Democratic Republic of Congo,COD,2022,3.2072,,,
Denmark,DNK,2022,7.5864,,,
Egypt,EGY,2022,4.1705,,,
Ethiopia,ETH,2022,4.0906,,,
France,FRA,2022,6.6613,,,
Gambia,GMB,2022,4.2794,,,
Ghana,GHA,2022,4.605,,,
Greece,GRC,2022,5.9309,,,
Guatemala,GTM,2022,6.1503,,,
Guinea,GIN,2022,5.0717,,,
Honduras,HND,2022,6.0225,,,
Hong Kong,HKG,2022,5.3085,,,
India,IND,2022,4.0358,,,
Indonesia,IDN,2022,5.2769,,,
Iran,IRN,2022,4.8763,,,
Iraq,IRQ,2022,4.9409,,,
Israel,ISR,2022,7.4729,,,
Italy,ITA,2022,6.4045,,,
Japan,JPN,2022,6.129,,,
Latvia,LVA,2022,6.2127,,,
Lebanon,LBN,2022,2.3922,,,
Madagascar,MDG,2022,4.0191,,,
Malawi,MWI,2022,3.4952,,,
Malaysia,MYS,2022,6.0123,,,
Mexico,MEX,2022,6.3295,,,
Mozambique,MOZ,2022,4.954,,,
Nepal,NPL,2022,5.3603,,,
Netherlands,NLD,2022,7.403,,,
Pakistan,PAK,2022,4.5554,,,
Peru,PER,2022,5.5259,,,
Philippines,PHL,2022,5.5229,,,
Romania,ROU,2022,6.5891,,,
Russia,RUS,2022,5.6607,,,
Singapore,SGP,2022,6.5867,,,
Tanzania,TZA,2022,3.6938,,,
Turkey,TUR,2022,4.6135,,,
Uganda,UGA,2022,4.4325,,,
United States,USA,2022,6.8937,,,
Zimbabwe,ZWE,2022,3.2035,,,
