Entity,Code,Year,"Deaths that are from neonatal preterm birth per 100,000 people, in both sexes aged under 5"
High Income (WB),,1990,59.525475
High Income (WB),,1995,45.19591
High Income (WB),,2000,37.91564
High Income (WB),,2005,33.856716
High Income (WB),,2010,27.470335
High Income (WB),,2015,24.473183
High Income (WB),,2019,21.163784
Low Income (WB),,1990,232.70555
Low Income (WB),,1995,214.91515
Low Income (WB),,2000,197.6791
Low Income (WB),,2005,179.21223
Low Income (WB),,2010,160.70543
Low Income (WB),,2015,143.76765
Low Income (WB),,2019,129.54633
Lower Middle Income (WB),,1990,253.71196
Lower Middle Income (WB),,1995,235.32956
Lower Middle Income (WB),,2000,213.53131
Lower Middle Income (WB),,2005,195.34659
Lower Middle Income (WB),,2010,177.72517
Lower Middle Income (WB),,2015,159.52686
Lower Middle Income (WB),,2019,135.06944
Middle Income (WB),,1990,168.49413
Middle Income (WB),,1995,151.62904
Middle Income (WB),,2000,127.65365
Middle Income (WB),,2005,102.23174
Middle Income (WB),,2010,85.27773
Middle Income (WB),,2015,66.486855
Middle Income (WB),,2019,46.082355
