Entity,Code,Year,regime_eiu
Ethiopia,ETH,2006,1
Ethiopia,ETH,2008,1
Ethiopia,ETH,2010,0
Ethiopia,ETH,2012,0
Ethiopia,ETH,2014,0
Ethiopia,ETH,2016,0
Ethiopia,ETH,2018,0
Ethiopia,ETH,2020,0
Ethiopia,ETH,2022,0
Lithuania,LTU,2006,2
Lithuania,LTU,2008,2
Lithuania,LTU,2010,2
Lithuania,LTU,2012,2
Lithuania,LTU,2014,2
Lithuania,LTU,2016,2
Lithuania,LTU,2018,2
Lithuania,LTU,2020,2
Lithuania,LTU,2022,2
Pakistan,PAK,2006,0
Pakistan,PAK,2008,1
Pakistan,PAK,2010,1
Pakistan,PAK,2012,1
Pakistan,PAK,2014,1
Pakistan,PAK,2016,1
Pakistan,PAK,2018,1
Pakistan,PAK,2020,1
Pakistan,PAK,2022,1
Suriname,SUR,2006,2
Suriname,SUR,2008,2
Suriname,SUR,2010,2
Suriname,SUR,2012,2
Suriname,SUR,2014,2
Suriname,SUR,2016,2
Suriname,SUR,2018,2
Suriname,SUR,2020,2
Suriname,SUR,2022,2
