Entity,Code,Year,Nuclear warheads deliverable in a first strike
China,CHN,1970,61
China,CHN,1980,205
China,CHN,1990,232
China,CHN,2000,232
China,CHN,2010,166
France,FRA,1960,0
France,FRA,1970,36
France,FRA,1980,105
France,FRA,1990,340
France,FRA,2000,429
France,FRA,2010,290
India,IND,1990,0
India,IND,2000,13
India,IND,2010,80
Pakistan,PAK,1990,0
Pakistan,PAK,2000,14
Pakistan,PAK,2010,90
Russia,RUS,1950,0
Russia,RUS,1960,490
Russia,RUS,1970,2627
Russia,RUS,1980,7741
Russia,RUS,1990,10673
Russia,RUS,2000,6478
Russia,RUS,2010,2504
South Africa,ZAF,1990,5
United Kingdom,GBR,1960,95
United Kingdom,GBR,1970,144
United Kingdom,GBR,1980,256
United Kingdom,GBR,1990,64
United Kingdom,GBR,2000,144
United Kingdom,GBR,2010,144
United States,USA,1945,2
United States,USA,1950,225
United States,USA,1960,3127
United States,USA,1970,4970
United States,USA,1980,10426
United States,USA,1990,10986
United States,USA,2000,6672
United States,USA,2010,2188
