Entity,Code,Year,17.9.1 - Total official development assistance (gross disbursement) for technical cooperation (millions of 2021 United States dollars) - DC_FTA_TOTAL
Brazil,BRA,2000,2014240000.0
Brazil,BRA,2005,180930000.0
Brazil,BRA,2010,1835890000.0
Brazil,BRA,2015,787150000.0
Brazil,BRA,2021,406520000.0
Mexico,MEX,2000,2603090000.0
Mexico,MEX,2005,272700000.0
Mexico,MEX,2010,2244530000.0
Mexico,MEX,2015,355720000.0
Mexico,MEX,2021,1427070000.0
Pakistan,PAK,2000,606350000.0
Pakistan,PAK,2005,411780000.0
Pakistan,PAK,2010,587820000.0
Pakistan,PAK,2015,1731690000.0
Pakistan,PAK,2021,1167640000.0
Philippines,PHL,2000,50940000.0
Philippines,PHL,2005,136020000.0
Philippines,PHL,2010,193910000.0
Philippines,PHL,2015,965790000.0
Philippines,PHL,2021,671670000.0
