Entity,Code,Year,Gas - % electricity
Belgium,BEL,1990,7.696685
Belgium,BEL,1995,13.846573
Belgium,BEL,2000,19.301847
Belgium,BEL,2005,25.564804
Belgium,BEL,2010,33.20771
Belgium,BEL,2015,32.325306
Belgium,BEL,2020,30.473373
Belgium,BEL,2022,24.571728
Bulgaria,BGR,1990,7.6133647
Bulgaria,BGR,1995,7.7070827
Bulgaria,BGR,2000,4.7044334
Bulgaria,BGR,2005,3.9380832
Bulgaria,BGR,2010,4.2844715
Bulgaria,BGR,2015,3.8193018
Bulgaria,BGR,2020,5.6936846
Bulgaria,BGR,2022,5.755538
Grenada,GRD,2000,0.0
Grenada,GRD,2005,0.0
Grenada,GRD,2010,0.0
Grenada,GRD,2015,0.0
Grenada,GRD,2020,0.0
Japan,JPN,1985,19.055374
Japan,JPN,1990,19.617733
Japan,JPN,1995,19.899952
Japan,JPN,2000,23.507051
Japan,JPN,2005,21.949232
Japan,JPN,2010,28.207745
Japan,JPN,2015,40.52926
Japan,JPN,2020,39.369682
Japan,JPN,2022,34.88365
United Kingdom,GBR,1985,0.97152185
United Kingdom,GBR,1990,1.5735146
United Kingdom,GBR,1995,19.171078
United Kingdom,GBR,2000,39.272266
United Kingdom,GBR,2005,38.31806
United Kingdom,GBR,2010,45.974453
United Kingdom,GBR,2015,29.47443
United Kingdom,GBR,2020,35.70925
United Kingdom,GBR,2022,38.424976
