Entity,Code,Year,Renewable electricity per capita - kWh
Canada,CAN,1990,10834.039
Canada,CAN,1995,11651.317
Canada,CAN,2000,11850.413
Canada,CAN,2005,11446.206
Canada,CAN,2010,10775.124
Canada,CAN,2015,11671.852
Canada,CAN,2020,11324.483
Canada,CAN,2022,11573.99
East Timor,TLS,2005,0.0
East Timor,TLS,2010,0.0
East Timor,TLS,2015,0.0
East Timor,TLS,2020,0.0
Kyrgyzstan,KGZ,2000,2745.591
Kyrgyzstan,KGZ,2005,2437.8445
Kyrgyzstan,KGZ,2010,2005.9154
Kyrgyzstan,KGZ,2015,1857.9929
Kyrgyzstan,KGZ,2020,2303.545
Sao Tome and Principe,STP,2000,69.57538
Sao Tome and Principe,STP,2005,0.0
Sao Tome and Principe,STP,2010,0.0
Sao Tome and Principe,STP,2015,49.71612
Sao Tome and Principe,STP,2020,45.73519
Uruguay,URY,2000,2129.2578
Uruguay,URY,2005,2001.407
Uruguay,URY,2010,2923.0583
Uruguay,URY,2015,3720.4436
Uruguay,URY,2020,3709.4421
Uruguay,URY,2022,3941.2222
Zimbabwe,ZWE,2000,290.67117
Zimbabwe,ZWE,2005,425.3663
Zimbabwe,ZWE,2010,463.40378
Zimbabwe,ZWE,2015,379.37292
Zimbabwe,ZWE,2020,267.3957
