Entity,Code,Year,Price level ratio of PPP conversion factor (GDP) to market exchange rate
India,IND,1990,0.306209
India,IND,1995,0.23767377
India,IND,2000,0.21178111
India,IND,2005,0.24195291
India,IND,2010,0.32039103
India,IND,2015,0.29380545
India,IND,2021,0.31159836
Italy,ITA,1990,1.1180042
Italy,ITA,1995,0.9232295
Italy,ITA,2000,0.7438415
Italy,ITA,2005,1.0638701
Italy,ITA,2010,1.02495
Italy,ITA,2015,0.8195905
Italy,ITA,2021,0.77393085
Spain,ESP,1990,1.0092556
Spain,ESP,1995,0.950419
Spain,ESP,2000,0.68335414
Spain,ESP,2005,0.95733744
Spain,ESP,2010,0.9636953
Spain,ESP,2015,0.7375376
Spain,ESP,2021,0.73857754
United Kingdom,GBR,1990,1.1177007
United Kingdom,GBR,1995,1.12558
United Kingdom,GBR,2000,1.06614
United Kingdom,GBR,2005,1.28658
United Kingdom,GBR,2010,1.0850825
United Kingdom,GBR,2015,1.058064
United Kingdom,GBR,2021,0.95287496
United States,USA,1990,1.0
United States,USA,1995,1.0
United States,USA,2000,1.0
United States,USA,2005,1.0
United States,USA,2010,1.0
United States,USA,2015,1.0
United States,USA,2021,1.0
