Entity,Code,Year,Cumulative CO₂ emissions from land-use change
Belize,BLZ,1850,170449.28
Belize,BLZ,1860,3752449.0
Belize,BLZ,1880,17442728.0
Belize,BLZ,1900,36646340.0
Belize,BLZ,1920,64822204.0
Belize,BLZ,1940,92475480.0
Belize,BLZ,1960,149429250.0
Belize,BLZ,1980,186648160.0
Belize,BLZ,2000,323164320.0
Belize,BLZ,2022,441581920.0
Guinea-Bissau,GNB,1850,361929.9
Guinea-Bissau,GNB,1860,4709632.0
Guinea-Bissau,GNB,1880,11592566.0
Guinea-Bissau,GNB,1900,20702626.0
Guinea-Bissau,GNB,1920,36082816.0
Guinea-Bissau,GNB,1940,76275500.0
Guinea-Bissau,GNB,1960,189127730.0
Guinea-Bissau,GNB,1980,235461280.0
Guinea-Bissau,GNB,2000,311447000.0
Guinea-Bissau,GNB,2022,331436770.0
Kiribati,KIR,1850,0.0
Kiribati,KIR,1860,0.0
Kiribati,KIR,1880,0.0
Kiribati,KIR,1900,0.0
Kiribati,KIR,1920,0.0
Kiribati,KIR,1940,0.0
Kiribati,KIR,1960,0.0
Kiribati,KIR,1980,0.0
Kiribati,KIR,2000,0.0
Kiribati,KIR,2022,0.0
Poland,POL,1850,40702824.0
Poland,POL,1860,452491070.0
Poland,POL,1880,1176408600.0
Poland,POL,1900,1812310900.0
Poland,POL,1920,1933459200.0
Poland,POL,1940,2218578000.0
Poland,POL,1960,1630861000.0
Poland,POL,1980,670835650.0
Poland,POL,2000,184493010.0
Poland,POL,2022,-833947840.0
Saint Vincent and the Grenadines,VCT,1850,11688.16
Saint Vincent and the Grenadines,VCT,1860,97389.12
Saint Vincent and the Grenadines,VCT,1880,281138.72
Saint Vincent and the Grenadines,VCT,1900,483648.0
Saint Vincent and the Grenadines,VCT,1920,583382.06
Saint Vincent and the Grenadines,VCT,1940,471336.97
Saint Vincent and the Grenadines,VCT,1960,1082235.6
Saint Vincent and the Grenadines,VCT,1980,2479062.2
Saint Vincent and the Grenadines,VCT,2000,3172181.2
Saint Vincent and the Grenadines,VCT,2022,3065522.2
Singapore,SGP,1850,534760.8
Singapore,SGP,1860,7278353.0
Singapore,SGP,1880,12209804.0
Singapore,SGP,1900,13439186.0
Singapore,SGP,1920,14886649.0
Singapore,SGP,1940,15303576.0
Singapore,SGP,1960,14556413.0
Singapore,SGP,1980,14166893.0
Singapore,SGP,2000,17774798.0
Singapore,SGP,2022,21218738.0
Slovenia,SVN,1850,1057064.0
Slovenia,SVN,1860,12731631.0
Slovenia,SVN,1880,47912148.0
Slovenia,SVN,1900,100981816.0
Slovenia,SVN,1920,169364300.0
Slovenia,SVN,1940,244223330.0
Slovenia,SVN,1960,306898140.0
Slovenia,SVN,1980,338016320.0
Slovenia,SVN,2000,325955330.0
Slovenia,SVN,2022,376719400.0
