Entity,Code,Year,military_expenditure_per_capita
Croatia,HRV,1995,446.28
Croatia,HRV,2000,149.0
Croatia,HRV,2005,182.54
Croatia,HRV,2010,234.71
Croatia,HRV,2015,208.64
Croatia,HRV,2020,252.1
Djibouti,DJI,1988,58.72
Djibouti,DJI,1990,52.7
Djibouti,DJI,1995,46.97
Djibouti,DJI,2000,36.27
Djibouti,DJI,2005,57.26
Norway,NOR,1988,688.25
Norway,NOR,1990,799.3
Norway,NOR,1995,803.31
Norway,NOR,2000,649.5
Norway,NOR,2005,1054.52
Norway,NOR,2010,1330.09
Norway,NOR,2015,1118.35
Norway,NOR,2020,1311.98
Romania,ROU,1988,107.91
Romania,ROU,1990,74.04
Romania,ROU,1995,42.81
Romania,ROU,2000,42.26
Romania,ROU,2005,92.26
Romania,ROU,2010,101.91
Romania,ROU,2015,129.51
Romania,ROU,2020,297.69
Slovakia,SVK,1995,117.13
Slovakia,SVK,2000,63.4
Slovakia,SVK,2005,152.49
Slovakia,SVK,2010,210.51
Slovakia,SVK,2015,181.38
Slovakia,SVK,2020,336.55
South Korea,KOR,1988,183.73
South Korea,KOR,1990,235.58
South Korea,KOR,1995,355.14
South Korea,KOR,2000,291.29
South Korea,KOR,2005,455.01
South Korea,KOR,2010,568.67
South Korea,KOR,2015,719.57
South Korea,KOR,2020,892.06
