Entity,Code,Year,Hydro (TWh growth - equivalent)
China,CHN,1966,1.1499939
China,CHN,1970,2.2999878
China,CHN,1980,28.579987
China,CHN,1990,24.646454
China,CHN,2000,76.37903
China,CHN,2010,255.18372
China,CHN,2022,-4.255615
France,FRA,1966,15.753006
France,FRA,1970,11.057358
France,FRA,1980,9.189163
France,FRA,1990,21.376083
France,FRA,2000,-18.18843
France,FRA,2010,14.899811
France,FRA,2022,-37.27868
Germany,DEU,1966,3.908512
Germany,DEU,1970,11.296295
Germany,DEU,1980,2.0268898
Germany,DEU,1990,-2.6870995
Germany,DEU,2000,12.460747
Germany,DEU,2010,5.0085983
Germany,DEU,2022,-5.811157
India,IND,1966,2.5090752
India,IND,1970,5.1357727
India,IND,1980,3.763626
India,IND,1990,8.95166
India,IND,2000,-15.551056
India,IND,2010,4.8563232
India,IND,2022,36.512604
Sweden,SWE,1966,-2.7618256
Sweden,SWE,1970,-1.0083313
Sweden,SWE,1980,-6.540863
Sweden,SWE,1990,2.2443695
Sweden,SWE,2000,20.382507
Sweden,SWE,2010,3.4186096
Sweden,SWE,2022,-11.224579
Switzerland,CHE,1966,10.116814
Switzerland,CHE,1970,2.7425919
Switzerland,CHE,1980,11.128792
Switzerland,CHE,1990,0.06777191
Switzerland,CHE,2000,-9.376404
Switzerland,CHE,2010,0.32372284
Switzerland,CHE,2022,-18.610252
