Entity,Code,Year,"Number of new cases of acute hepatitis b per 100,000 people, in both sexes aged all ages"
Belgium,BEL,1990,215.68681
Belgium,BEL,1995,209.07733
Belgium,BEL,2000,194.46594
Belgium,BEL,2005,187.66106
Belgium,BEL,2010,173.6006
Belgium,BEL,2015,160.37836
Belgium,BEL,2019,147.61104
Bhutan,BTN,1990,1602.7114
Bhutan,BTN,1995,1536.931
Bhutan,BTN,2000,1392.7235
Bhutan,BTN,2005,1264.5317
Bhutan,BTN,2010,1149.2218
Bhutan,BTN,2015,1010.83545
Bhutan,BTN,2019,886.47296
Latin America & Caribbean (WB),,1990,849.0758
Latin America & Caribbean (WB),,1995,829.38654
Latin America & Caribbean (WB),,2000,772.7468
Latin America & Caribbean (WB),,2005,684.0599
Latin America & Caribbean (WB),,2010,595.769
Latin America & Caribbean (WB),,2015,503.6304
Latin America & Caribbean (WB),,2019,456.69214
Mexico,MEX,1990,145.90125
Mexico,MEX,1995,139.62193
Mexico,MEX,2000,130.48398
Mexico,MEX,2005,110.227425
Mexico,MEX,2010,97.979004
Mexico,MEX,2015,83.32536
Mexico,MEX,2019,76.823456
