Entity,Code,Year,gov_transparency,gov_transparency_upper,gov_transparency_lower
France,FRA,1980,1.468335633121503,1.039031085310243,1.867161359388882
France,FRA,1985,3.630473471930857,3.033532961516893,4.302949225567119
France,FRA,1990,4.124821318751861,3.408206421415596,4.840642713719793
France,FRA,1995,4.400375940611486,3.675198554679246,5.158821326717215
France,FRA,2000,5.150013997297311,4.354473639293047,5.97769215770272
France,FRA,2005,6.58683718988727,5.494136258582123,7.564143736105235
France,FRA,2010,4.336359359855195,3.452085830348904,5.298588269235008
Gabon,GAB,1980,0.1581290036971566,-0.1096690067991302,0.4447915272554433
Gabon,GAB,1985,0.0087076927038606,-0.2547341058610132,0.2856837901107759
Gabon,GAB,1990,-0.0445210141139407,-0.2897022928989869,0.2367241854880383
Gabon,GAB,1995,0.2429349399015509,-0.0550652840825088,0.5653680794474016
Gabon,GAB,2000,0.7317671083951538,0.3582393616591996,1.119216367987881
Gabon,GAB,2005,0.932104052207258,0.526436144861404,1.355413111880925
Gabon,GAB,2010,-0.8489003128388264,-0.9105529048421236,-0.7914827091679009
Laos,LAO,1980,-2.775144176565602,-3.144334783913239,-2.396855600877205
Laos,LAO,1985,-0.7054984502019362,-0.7441827666681126,-0.6598909188765933
Laos,LAO,1990,-0.7001222557611808,-0.7417585696851229,-0.6504610995542104
Laos,LAO,1995,-0.6797858772494102,-0.7342938670739353,-0.6282414862224763
Laos,LAO,2000,-0.6098804126435997,-0.6979215389511112,-0.510648658748911
Laos,LAO,2005,-0.5681366452833357,-0.6848084227578479,-0.4545578032781774
Laos,LAO,2010,-0.5939403574945165,-0.6823067650027829,-0.4759741808292156
Nicaragua,NIC,1980,0.1606147025757539,-0.1047702962349507,0.4669507431886994
Nicaragua,NIC,1985,0.2572808995713176,-0.0133797357342934,0.5914178628628068
Nicaragua,NIC,1990,0.4361544605716151,0.1382898254710449,0.7804408988220863
Nicaragua,NIC,1995,1.631680930718795,1.177373212615647,2.119377214964421
Nicaragua,NIC,2000,1.943608159424772,1.49221107144273,2.460020302163545
Nicaragua,NIC,2005,2.416001833269203,1.904940160644961,2.914161140499812
Nicaragua,NIC,2010,0.7683470781658912,0.3725503971804531,1.176582947757922
