Entity,Code,Year,"Deaths that are from diarrheal diseases per 100,000 people, in both sexes aged age-standardized"
Chad,TCD,1990,253.91177
Chad,TCD,1995,239.92725
Chad,TCD,2000,251.58052
Chad,TCD,2005,238.04707
Chad,TCD,2010,215.38972
Chad,TCD,2015,185.6205
Chad,TCD,2019,162.06529
Equatorial Guinea,GNQ,1990,324.94843
Equatorial Guinea,GNQ,1995,260.80875
Equatorial Guinea,GNQ,2000,115.362175
Equatorial Guinea,GNQ,2005,58.150826
Equatorial Guinea,GNQ,2010,34.901253
Equatorial Guinea,GNQ,2015,23.52175
Equatorial Guinea,GNQ,2019,20.742258
Ethiopia,ETH,1990,305.77243
Ethiopia,ETH,1995,283.39127
Ethiopia,ETH,2000,216.83228
Ethiopia,ETH,2005,149.69641
Ethiopia,ETH,2010,109.11373
Ethiopia,ETH,2015,91.041405
Ethiopia,ETH,2019,76.44538
Kenya,KEN,1990,108.897064
Kenya,KEN,1995,114.49125
Kenya,KEN,2000,107.012
Kenya,KEN,2005,97.91333
Kenya,KEN,2010,93.36913
Kenya,KEN,2015,77.383575
Kenya,KEN,2019,63.858315
Niger,NER,1990,353.74957
Niger,NER,1995,321.7867
Niger,NER,2000,268.9442
Niger,NER,2005,216.04189
Niger,NER,2010,154.31895
Niger,NER,2015,136.50203
Niger,NER,2019,120.4375
World,OWID_WRL,1990,58.278057
World,OWID_WRL,1995,51.333294
World,OWID_WRL,2000,44.766598
World,OWID_WRL,2005,36.540913
World,OWID_WRL,2010,30.582579
World,OWID_WRL,2015,24.544525
World,OWID_WRL,2019,20.952656
