Entity,Code,Year,HIV Prevalence - Disaggregation: Adults (15-49) estimate modelled
Bahamas,BHS,1990,1.20598
Bahamas,BHS,1995,1.80099
Bahamas,BHS,2000,1.82975
Bahamas,BHS,2005,1.68457
Bahamas,BHS,2010,1.56847
Bahamas,BHS,2015,1.29698
Bahamas,BHS,2020,1.04764
Bahamas,BHS,2022,0.94738
Burkina Faso,BFA,1990,2.26881
Burkina Faso,BFA,1995,2.47404
Burkina Faso,BFA,2000,1.91121
Burkina Faso,BFA,2005,1.38628
Burkina Faso,BFA,2010,1.12173
Burkina Faso,BFA,2015,0.8773
Burkina Faso,BFA,2020,0.64876
Burkina Faso,BFA,2022,0.5721
Nicaragua,NIC,1990,0.02158
Nicaragua,NIC,1995,0.07012
Nicaragua,NIC,2000,0.17323
Nicaragua,NIC,2005,0.22069
Nicaragua,NIC,2010,0.25094
Nicaragua,NIC,2015,0.26864
Nicaragua,NIC,2020,0.27264
Nicaragua,NIC,2022,0.26917
Slovenia,SVN,1990,0.0099
Slovenia,SVN,1995,0.00932
Slovenia,SVN,2000,0.01273
Slovenia,SVN,2005,0.0309
Slovenia,SVN,2010,0.04735
Slovenia,SVN,2015,0.04807
Slovenia,SVN,2020,0.04458
Slovenia,SVN,2022,0.04532
Thailand,THA,1990,0.92478
Thailand,THA,1995,2.28391
Thailand,THA,2000,2.23394
Thailand,THA,2005,1.90317
Thailand,THA,2010,1.67376
Thailand,THA,2015,1.44255
Thailand,THA,2020,1.17847
Thailand,THA,2022,1.07336
