Entity,Code,Year,Very important in life: Work,Continent
Austria,AUT,2022,49.72761,
Azerbaijan,AZE,2022,58.31705,
Belarus,BLR,2022,60.31301,
Bosnia and Herzegovina,BIH,2022,65.4819,
Bulgaria,BGR,2022,62.13828,
Ecuador,ECU,2022,78.21369,
Estonia,EST,2022,39.80204,
Georgia,GEO,2022,73.97025,
Germany,DEU,2022,44.61129,
Indonesia,IDN,2022,92.92996,
Kyrgyzstan,KGZ,2022,55.49862,
Latvia,LVA,2022,47.09472,
Macao,MAC,2022,30.20731,
Morocco,MAR,2022,82.66666,
Nicaragua,NIC,2022,68.91666,
Northern Ireland,,2022,35.61562,
Slovakia,SVK,2022,53.28107,
Uruguay,URY,2022,70.80221,
