Entity,Code,Year,Energy use (kg of oil equivalent per capita),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2015,,,1201108186.0,
Asia,,2015,,,4458250376.0,
Bahrain,BHR,2015,,48453.727,1362157.0,Asia
Canada,CAN,2015,88752.50746000001,47522.14,35732120.0,North America
China,CHN,2015,,12612.352,1393715456.0,Asia
Curacao,CUW,2015,,25604.93,169588.0,North America
Cyprus,CYP,2015,,34573.973,1187286.0,Europe
Estonia,EST,2015,48535.789521,31038.805,1314658.0,Europe
Ethiopia,ETH,2015,,1750.6727,102471896.0,Africa
Europe,,2015,,,743294457.0,
European Union (27),,2015,38127.23376,40741.656,442703856.0,
Finland,FIN,2015,68904.261,45072.59,5479457.0,Europe
High-income countries,,2015,53565.95409,46897.363,1189869736.0,
Hong Kong,HKG,2015,,57214.69,7399845.0,Asia
Iceland,ISL,2015,203279.52559,52142.934,331068.0,Europe
Italy,ITA,2015,28862.805998000003,40247.83,60232908.0,Europe
Kuwait,KWT,2015,,53808.125,3908745.0,Asia
Libya,LBY,2015,,19108.943,6192241.0,Africa
Lower-middle-income countries,,2015,,6309.6113,3144964232.0,
Mexico,MEX,2015,18132.55397,19542.89,120149896.0,North America
Nepal,NPL,2015,,3260.035,27610328.0,Asia
Niger,NER,2015,,1124.41,20128132.0,Africa
North America,,2015,,,570726015.0,
Norway,NOR,2015,67659.11482100001,62987.516,5190357.0,Europe
Oceania,,2015,,,40403644.0,
Oman,OMN,2015,,35188.023,4191784.0,Asia
Pakistan,PAK,2015,,4552.6055,210969296.0,Asia
Poland,POL,2015,28961.099269,27667.69,38553148.0,Europe
Qatar,QAT,2015,,101971.99,2414580.0,Asia
Russia,RUS,2015,,25488.096,144668384.0,Europe
South America,,2015,,,413134461.0,
Tanzania,TZA,2015,,2306.6382,52542824.0,Africa
Trinidad and Tobago,TTO,2015,,29876.98,1460180.0,North America
Turkey,TUR,2015,18936.043921,25594.66,79646176.0,Asia
Turkmenistan,TKM,2015,,12540.284,5766427.0,Asia
United States,USA,2015,79130.480458,58427.55,324607776.0,North America
World,OWID_WRL,2015,,15433.18,7426597376.0,
