Entity,Code,Year,Price level ratio of PPP conversion factor (GDP) to market exchange rate,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2021,0.2213671,1516.3057,40099460.0,
Africa,,2021,,,1393676724.0,
Argentina,ARG,2021,0.4497365,21527.195,45276788.0,
Asia,,2021,,,4693332132.0,
Australia,AUS,2021,1.073945,49774.34,25921094.0,
Bahamas,BHS,2021,0.8279433,30210.162,407920.0,
Bahrain,BHR,2021,0.48957887,49387.418,1463266.0,
Barbados,BRB,2021,1.1399319,13754.803,281204.0,
Belize,BLZ,2021,0.64698696,8762.623,400037.0,
Benin,BEN,2021,0.36150736,3321.5522,12996901.0,
Brazil,BRA,2021,0.46828774,14592.353,214326224.0,
Burundi,BDI,2021,0.2859463,705.0304,12551215.0,
Cambodia,KHM,2021,0.33972988,4354.5654,16589031.0,
Canada,CAN,2021,0.9993533,47892.945,38155012.0,
Chad,TCD,2021,0.43784946,1425.4945,17179744.0,
Chile,CHL,2021,0.56702876,25449.13,19493184.0,
China,CHN,2021,0.64930093,17602.695,1425893504.0,
Curacao,CUW,2021,0.77599186,20783.086,190348.0,
Czechia,CZE,2021,0.5959781,40740.992,10510748.0,
Democratic Republic of Congo,COD,2021,0.48936808,1073.6433,95894120.0,
Dominica,DMA,2021,0.6404029,10878.037,72435.0,
Ecuador,ECU,2021,0.50894237,10668.758,17797736.0,
Ethiopia,ETH,2021,0.36310056,2319.0684,120283024.0,
Europe,,2021,,,746417727.0,
Gabon,GAB,2021,0.56902367,13813.723,2341185.0,
Germany,DEU,2021,0.87698776,53179.656,83408560.0,
Greece,GRC,2021,0.6479134,29548.04,10445368.0,
Haiti,HTI,2021,0.58024716,2870.145,11447575.0,
Honduras,HND,2021,0.45277917,5572.177,10278346.0,
Hong Kong,HKG,2021,0.7557939,59978.15,7494580.0,
Iceland,ISL,2021,1.1862624,53586.156,370338.0,
India,IND,2021,0.31159836,6592.042,1407563904.0,
Indonesia,IDN,2021,0.33258688,11858.146,273753184.0,
Iran,IRN,2021,0.24819161,15004.6875,87923432.0,
Iraq,IRQ,2021,0.4850048,8962.395,43533592.0,
Ireland,IRL,2021,0.9313926,102496.22,4986525.0,
Israel,ISR,2021,1.1763077,42061.242,8900057.0,
Italy,ITA,2021,0.77393085,41929.43,59240336.0,
Japan,JPN,2021,0.9148764,40784.383,124612528.0,
Kosovo,OWID_KOS,2021,0.40363234,11884.18,1662022.0,
Laos,LAO,2021,0.29413375,7846.975,7425055.0,
Latvia,LVA,2021,0.5988687,32081.455,1873926.0,
Lesotho,LSO,2021,0.43390238,2295.2322,2281464.0,
Libya,LBY,2021,0.26344705,21965.174,6735280.0,
Lithuania,LTU,2021,0.5492374,39305.613,2786652.0,
Madagascar,MDG,2021,0.31127563,1463.6288,28915652.0,
Marshall Islands,MHL,2021,0.9423666,5961.8164,42074.0,
Mexico,MEX,2021,0.4954181,19086.105,126705136.0,
Morocco,MAR,2021,0.42871535,8058.397,37076588.0,
Mozambique,MOZ,2021,0.3649416,1226.767,32077074.0,
Nepal,NPL,2021,0.28700417,3831.9485,30034988.0,
Nigeria,NGA,2021,0.38198167,4922.6323,213401328.0,
North America,,2021,,,597123384.0,
Norway,NOR,2021,1.1262798,65662.17,5403021.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,0.2618317,5232.1426,231402112.0,
Palau,PLW,2021,0.7979024,13785.397,18050.0,
Palestine,PSE,2021,0.5910151,5643.0723,5133393.0,
Papua New Guinea,PNG,2021,0.66161376,3677.4602,9949438.0,
Poland,POL,2021,0.4757254,34915.523,38307724.0,
Russia,RUS,2021,0.37108356,27960.102,145102752.0,
Sao Tome and Principe,STP,2021,0.5302635,4052.1233,223118.0,
Senegal,SEN,2021,0.4262706,3495.4036,16876726.0,
Singapore,SGP,2021,0.6249138,106032.23,5941063.0,
Slovenia,SVN,2021,0.6693648,40036.484,2119408.0,
Solomon Islands,SLB,2021,0.870169,2406.1135,707855.0,
South America,,2021,,,434254167.0,
Sudan,SDN,2021,0.1849055,3701.069,45657204.0,
Switzerland,CHE,2021,1.2086458,71032.84,8691409.0,
Thailand,THA,2021,0.37664744,17077.043,71601104.0,
Turkey,TUR,2021,0.31431925,31466.56,84775408.0,
Turks and Caicos Islands,TCA,2021,1.0280704,18512.457,45141.0,
Tuvalu,TUV,2021,1.0411296,4924.0273,11229.0,
United States,USA,2021,1.0,63669.71,336997632.0,
Uzbekistan,UZB,2021,0.2333718,7734.8325,34081452.0,
Vanuatu,VUT,2021,0.9801171,2783.0195,319146.0,
Zimbabwe,ZWE,2021,0.7634075,2115.1445,15993525.0,
