Entity,Code,Year,Fossil fuels - % electricity
Cote d'Ivoire,CIV,2000,61.956524
Cote d'Ivoire,CIV,2005,73.258
Cote d'Ivoire,CIV,2010,71.53025
Cote d'Ivoire,CIV,2015,83.57843
Cote d'Ivoire,CIV,2020,68.21192
Cuba,CUB,2000,93.1642
Cuba,CUB,2005,96.81661
Cuba,CUB,2010,96.705315
Cuba,CUB,2015,95.5255
Cuba,CUB,2020,95.053764
Georgia,GEO,2000,20.220083
Georgia,GEO,2005,13.585434
Georgia,GEO,2010,7.1142287
Georgia,GEO,2015,21.11216
Georgia,GEO,2020,25.268818
Georgia,GEO,2022,23.806181
Martinique,MTQ,2000,100.0
Martinique,MTQ,2005,100.0
Martinique,MTQ,2010,100.0
North America (EI),,1985,65.014175
North America (EI),,1990,64.092064
North America (EI),,1995,62.970448
North America (EI),,2000,66.15215
North America (EI),,2005,66.939
North America (EI),,2010,65.61742
North America (EI),,2015,62.334366
North America (EI),,2020,56.43024
North America (EI),,2022,56.085644
Oman,OMN,2000,100.0
Oman,OMN,2005,100.0
Oman,OMN,2010,100.0
Oman,OMN,2015,100.0
Oman,OMN,2020,99.62143
Oman,OMN,2022,99.56862
South Korea,KOR,1985,67.440025
South Korea,KOR,1990,49.984367
South Korea,KOR,1995,64.25457
South Korea,KOR,2000,60.52255
South Korea,KOR,2005,61.136726
South Korea,KOR,2010,69.07827
South Korea,KOR,2015,67.476036
South Korea,KOR,2020,65.97392
South Korea,KOR,2022,63.54883
Spain,ESP,1985,51.25237
Spain,ESP,1990,46.895046
Spain,ESP,1995,51.787437
Spain,ESP,2000,56.2285
Spain,ESP,2005,64.91247
Spain,ESP,2010,46.416233
Spain,ESP,2015,44.39759
Spain,ESP,2020,33.742733
Spain,ESP,2022,37.27381
