Entity,Code,Year,Human capital index (HCI) (scale 0-1),Continent
Azerbaijan,AZE,2020,0.57776755,
Brunei,BRN,2020,0.62639135,
Burkina Faso,BFA,2020,0.38369194,
Central African Republic,CAF,2020,0.2916319,
Chile,CHL,2020,0.6516042,
Democratic Republic of Congo,COD,2020,0.36636928,
East Timor,TLS,2020,0.45431453,
Ecuador,ECU,2020,0.59425485,
Gambia,GMB,2020,0.42157063,
Honduras,HND,2020,0.48102313,
Lesotho,LSO,2020,0.4003926,
Paraguay,PRY,2020,0.52818006,
Peru,PER,2020,0.60519266,
Samoa,WSM,2020,0.5484217,
Singapore,SGP,2020,0.8791257,
Spain,ESP,2020,0.72825503,
Switzerland,CHE,2020,0.75611514,
Tajikistan,TJK,2020,0.50411636,
United Kingdom,GBR,2020,0.78294295,
Vietnam,VNM,2020,0.68996453,
