Entity,Code,Year,democracy_eiu,region
Afghanistan,AFG,2022,0.32,Asia
Africa,,2022,4.074999999999999,World
Asia,,2022,4.228297872340426,World
Austria,AUT,2022,8.2,Europe
Burundi,BDI,2022,2.13,Africa
Cambodia,KHM,2022,3.18,Asia
China,CHN,2022,1.94,Asia
Cuba,CUB,2022,2.65,North America
Europe,,2022,7.397999999999998,World
Ghana,GHA,2022,6.43,Africa
Indonesia,IDN,2022,6.71,Asia
Israel,ISR,2022,7.93,Asia
Lesotho,LSO,2022,6.19,Africa
Niger,NER,2022,3.73,Africa
Nigeria,NGA,2022,4.23,Africa
North America,,2022,5.765,World
Norway,NOR,2022,9.81,Europe
Oceania,,2022,7.46,World
Senegal,SEN,2022,5.72,Africa
Sierra Leone,SLE,2022,5.03,Africa
South Africa,ZAF,2022,7.05,Africa
South America,,2022,6.250833333333333,World
Togo,TGO,2022,2.99,Africa
Uruguay,URY,2022,8.91,South America
World,OWID_WRL,2022,5.293173652694613,World
