Entity,Code,Year,Renewable electricity per capita - kWh
China,CHN,1980,59.265884
China,CHN,1990,109.91725
China,CHN,2000,178.43538
China,CHN,2010,583.28516
China,CHN,2022,1872.6444
India,IND,1980,79.56245
India,IND,1990,76.35682
India,IND,2000,75.752594
India,IND,2010,114.95119
India,IND,2022,268.75333
South Korea,KOR,1980,50.31045
South Korea,KOR,1990,106.18635
South Korea,KOR,2000,86.77329
South Korea,KOR,2010,119.23045
South Korea,KOR,2022,1013.20435
Spain,ESP,1965,613.0727
Spain,ESP,1970,823.227
Spain,ESP,1980,797.8306
Spain,ESP,1990,669.3257
Spain,ESP,2000,846.5539
Spain,ESP,2010,2099.295
Spain,ESP,2022,2530.3503
United States,USA,1990,1422.6157
United States,USA,2000,1242.6763
United States,USA,2010,1364.0856
United States,USA,2022,2832.3345
Vietnam,VNM,1980,28.092289
Vietnam,VNM,1990,80.238976
Vietnam,VNM,2000,184.17456
Vietnam,VNM,2010,327.4187
Vietnam,VNM,2022,1331.4409
