Entity,Code,Year,Deaths - Cause: All Causes - Sex: Both sexes - Age group: ALLAges
China,CHN,2000,8662166.0
China,CHN,2005,9129292.0
China,CHN,2010,9140933.0
China,CHN,2015,9302136.0
China,CHN,2019,10100000.0
India,IND,2000,9418392.0
India,IND,2005,8969007.0
India,IND,2010,8811050.0
India,IND,2015,8848702.0
India,IND,2019,9171343.0
Indonesia,IDN,2000,1396409.0
Indonesia,IDN,2005,1466873.0
Indonesia,IDN,2010,1559995.0
Indonesia,IDN,2015,1684450.0
Indonesia,IDN,2019,1816229.0
United States,USA,2000,2403867.0
United States,USA,2005,2452429.0
United States,USA,2010,2470480.0
United States,USA,2015,2713463.0
United States,USA,2019,2949214.0
