Entity,Code,Year,Deaths in ongoing conflicts (best estimate) - Conflict type: all
Africa,,1989,40978
Africa,,1991,33941
Africa,,1993,34761
Africa,,1995,19431
Africa,,1997,44360
Africa,,1999,73907
Africa,,2001,16299
Africa,,2003,18755
Africa,,2005,5117
Africa,,2007,5694
Africa,,2009,12362
Africa,,2011,13938
Africa,,2013,15242
Africa,,2015,20470
Africa,,2017,17995
Africa,,2019,15310
Africa,,2022,125600
Americas,,1989,9414
Americas,,1991,2982
Americas,,1993,1420
Americas,,1995,1412
Americas,,1997,1052
Americas,,1999,2207
Americas,,2001,7782
Americas,,2003,2486
Americas,,2005,2038
Americas,,2007,2286
Americas,,2009,4117
Americas,,2011,3347
Americas,,2013,889
Americas,,2015,1858
Americas,,2017,4369
Americas,,2019,13717
Americas,,2022,16215
Europe,,1989,625
Europe,,1991,3792
Europe,,1993,17404
Europe,,1995,20202
Europe,,1997,55
Europe,,1999,8382
Europe,,2001,1051
Europe,,2003,548
Europe,,2005,759
Europe,,2007,176
Europe,,2009,696
Europe,,2011,396
Europe,,2013,361
Europe,,2015,2077
Europe,,2017,527
Europe,,2019,340
Europe,,2022,82968
Middle East,,1989,1725
Middle East,,1991,25574
Middle East,,1993,3568
Middle East,,1995,5014
Middle East,,1997,5244
Middle East,,1999,1575
Middle East,,2001,587
Middle East,,2003,8582
Middle East,,2005,4251
Middle East,,2007,5582
Middle East,,2009,2880
Middle East,,2011,7819
Middle East,,2013,81352
Middle East,,2015,80662
Middle East,,2017,55055
Middle East,,2019,16258
Middle East,,2022,6359
World,OWID_WRL,1989,67008
World,OWID_WRL,1991,83937
World,OWID_WRL,1993,67635
World,OWID_WRL,1995,60575
World,OWID_WRL,1997,63893
World,OWID_WRL,1999,98671
World,OWID_WRL,2001,36923
World,OWID_WRL,2003,37984
World,OWID_WRL,2005,19045
World,OWID_WRL,2007,27942
World,OWID_WRL,2009,47611
World,OWID_WRL,2011,38692
World,OWID_WRL,2013,110612
World,OWID_WRL,2015,127352
World,OWID_WRL,2017,103625
World,OWID_WRL,2019,78282
World,OWID_WRL,2022,236992
