Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: Age-standardized (Rate)
Bermuda,BMU,1990,0.0
Bermuda,BMU,1995,0.0
Bermuda,BMU,2000,0.0
Bermuda,BMU,2005,0.0
Bermuda,BMU,2010,0.0
Bermuda,BMU,2015,0.0
Bermuda,BMU,2019,0.0
Congo,COG,1990,74.83
Congo,COG,1995,86.6
Congo,COG,2000,91.43
Congo,COG,2005,78.51
Congo,COG,2010,48.98
Congo,COG,2015,49.11
Congo,COG,2019,48.67
Montenegro,MNE,1990,0.0
Montenegro,MNE,1995,0.0
Montenegro,MNE,2000,0.0
Montenegro,MNE,2005,0.0
Montenegro,MNE,2010,0.0
Montenegro,MNE,2015,0.0
Montenegro,MNE,2019,0.0
Taiwan,TWN,1990,0.0
Taiwan,TWN,1995,0.0
Taiwan,TWN,2000,0.0
Taiwan,TWN,2005,0.0
Taiwan,TWN,2010,0.0
Taiwan,TWN,2015,0.0
Taiwan,TWN,2019,0.0
