Entity,Code,Year,democracy_recod_polity,region
Africa,,2018,12.557693,World
Asia,,2018,9.9555559,World
Azerbaijan,AZE,2018,3.0,Asia
Bahrain,BHR,2018,0.0,Asia
Chad,TCD,2018,8.0,Africa
Costa Rica,CRI,2018,20.0,North America
Cote d'Ivoire,CIV,2018,14.0,Africa
Equatorial Guinea,GNQ,2018,4.0,Africa
Estonia,EST,2018,19.0,Europe
Eswatini,SWZ,2018,1.0,Africa
Europe,,2018,18.736841,World
Honduras,HND,2018,17.0,North America
Iraq,IRQ,2018,16.0,Asia
Italy,ITA,2018,20.0,Europe
Kosovo,OWID_KOS,2018,18.0,Europe
Mali,MLI,2018,15.0,Africa
North America,,2018,17.142857,World
Oceania,,2018,17.0,World
Paraguay,PRY,2018,19.0,South America
Poland,POL,2018,20.0,Europe
South America,,2018,16.916666,World
South Korea,KOR,2018,18.0,Asia
South Sudan,SSD,2018,10.0,Africa
Tunisia,TUN,2018,17.0,Africa
Turkey,TUR,2018,6.0,Asia
Uruguay,URY,2018,20.0,South America
World,OWID_WRL,2018,14.102409,World
