Entity,Code,Year,"School enrollment, tertiary (% gross)"
Arab World (WB),,1970,5.72864
Arab World (WB),,1980,9.52448
Arab World (WB),,1990,10.76654
Arab World (WB),,2000,17.25072
Arab World (WB),,2010,23.97083
Arab World (WB),,2022,33.51317
Central Europe and the Baltics (WB),,1970,12.56655
Central Europe and the Baltics (WB),,1980,16.99116
Central Europe and the Baltics (WB),,1990,17.26992
Central Europe and the Baltics (WB),,2000,39.04411
Central Europe and the Baltics (WB),,2010,71.13505
Central Europe and the Baltics (WB),,2022,66.09262
East Asia and the Pacific (WB),,1970,3.12233
East Asia and the Pacific (WB),,1980,5.72624
East Asia and the Pacific (WB),,1990,7.36157
East Asia and the Pacific (WB),,2000,15.56916
East Asia and the Pacific (WB),,2010,29.04381
East Asia and the Pacific (WB),,2022,59.41873
Europe and Central Asia (WB),,1970,24.59025
Europe and Central Asia (WB),,1980,27.86679
Europe and Central Asia (WB),,1990,31.92993
Europe and Central Asia (WB),,2000,44.8056
Europe and Central Asia (WB),,2010,61.96676
Europe and Central Asia (WB),,2022,78.80298
Latin America and Caribbean (WB),,1970,6.88872
Latin America and Caribbean (WB),,1980,13.43351
Latin America and Caribbean (WB),,1990,16.97424
Latin America and Caribbean (WB),,2000,23.14511
Latin America and Caribbean (WB),,2010,41.07933
Latin America and Caribbean (WB),,2022,56.44976
Middle East and North Africa (WB),,1970,5.49903
Middle East and North Africa (WB),,1980,9.98327
Middle East and North Africa (WB),,1990,12.38601
Middle East and North Africa (WB),,2000,19.61293
Middle East and North Africa (WB),,2010,30.25288
Middle East and North Africa (WB),,2022,40.96279
North America (WB),,1970,49.62793
North America (WB),,1980,54.87922
North America (WB),,1990,71.59445
North America (WB),,2000,71.35986
North America (WB),,2010,83.42649
North America (WB),,2022,84.16981
South Asia (WB),,1970,4.15088
South Asia (WB),,1980,4.3827
South Asia (WB),,1990,5.34778
South Asia (WB),,2000,8.06216
South Asia (WB),,2010,15.44621
South Asia (WB),,2022,27.2942
Southern and Eastern Africa (WB),,1970,1.83013
Southern and Eastern Africa (WB),,1980,2.22384
Southern and Eastern Africa (WB),,1990,3.13509
Southern and Eastern Africa (WB),,2000,3.88647
Southern and Eastern Africa (WB),,2010,7.33744
Sub-Saharan Africa (WB),,1970,1.37565
Sub-Saharan Africa (WB),,1980,2.00279
Sub-Saharan Africa (WB),,1990,3.06579
Sub-Saharan Africa (WB),,2000,4.35818
Sub-Saharan Africa (WB),,2010,7.65903
Western and Central Africa (WB),,1970,0.62107
Western and Central Africa (WB),,1980,1.64665
Western and Central Africa (WB),,1990,2.95182
Western and Central Africa (WB),,2000,5.04572
Western and Central Africa (WB),,2010,8.16179
