Entity,Code,Year,Electric cars sold,Non-electric car sales
World,OWID_WRL,2010,7570,68810616.0
World,OWID_WRL,2011,48000,68523430.0
World,OWID_WRL,2012,118000,73632000.0
World,OWID_WRL,2013,201000,74243440.0
World,OWID_WRL,2014,330000,76414184.0
World,OWID_WRL,2015,550000,78021430.0
World,OWID_WRL,2016,750000,83519660.0
World,OWID_WRL,2017,1180000,83105710.0
World,OWID_WRL,2018,2050000,87080440.0
World,OWID_WRL,2019,2080000,77920000.0
World,OWID_WRL,2020,2970000,67744290.0
World,OWID_WRL,2021,6500000,68212650.0
World,OWID_WRL,2022,10200000,62657144.0
