Entity,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate),Deaths - All forms of violence - OWID - Sex: Both - Age: Age-standardized (Rate),Population (historical estimates),Continent
Afghanistan,AFG,2019,6.13,149.27,37769496.0,
Africa,,2019,,,1327701380.0,
Argentina,ARG,2019,10.41,6.12,44745516.0,
Asia,,2019,,,4627738749.0,
Bahamas,BHS,2019,2.83,27.13,404563.0,
Bangladesh,BGD,2019,4.7,2.54,165516224.0,
Belize,BLZ,2019,7.36,26.46,389103.0,
Bolivia,BOL,2019,6.83,5.25,11777318.0,
Bosnia and Herzegovina,BIH,2019,8.36,2.13,3360718.0,
Brazil,BRA,2019,5.68,29.16,211782880.0,
Canada,CAN,2019,11.01,1.57,37522584.0,
Cape Verde,CPV,2019,16.03,14.19,577037.0,
Central African Republic,CAF,2019,19.35,14.51,5209329.0,
Chile,CHL,2019,9.76,4.2,19039484.0,
China,CHN,2019,6.8,0.8500000000000001,1421864064.0,
Cote d'Ivoire,CIV,2019,13.19,11.44,26147544.0,
Egypt,EGY,2019,3.55,1.2400000000000002,105618672.0,
Eswatini,SWZ,2019,24.53,20.07,1169620.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,12.49,0.78,64399760.0,
Gabon,GAB,2019,13.35,4.53,2242788.0,
Georgia,GEO,2019,7.0,3.19,3770814.0,
Germany,DEU,2019,9.51,0.67,83148144.0,
Ghana,GHA,2019,9.74,2.58,31522294.0,
Greenland,GRL,2019,53.34,8.25,55955.0,
Grenada,GRD,2019,4.59,5.69,122737.0,
Guam,GUM,2019,18.8,3.26,168632.0,
Guyana,GUY,2019,32.62,22.14,798761.0,
Haiti,HTI,2019,9.62,29.19,11160441.0,
Honduras,HND,2019,3.26,36.57,9958832.0,
India,IND,2019,13.8,2.98,1383112064.0,
Indonesia,IDN,2019,2.99,0.92,269582880.0,
Iraq,IRQ,2019,5.54,20.14,41563524.0,
Ireland,IRL,2019,8.07,0.64,4896021.0,
Italy,ITA,2019,5.0,0.72,59727936.0,
Jamaica,JAM,2019,2.92,13.8,2813776.0,
Japan,JPN,2019,14.21,0.48,125791680.0,
Jordan,JOR,2019,2.55,3.1,10698682.0,
Kenya,KEN,2019,10.89,12.06,50951452.0,
Laos,LAO,2019,6.35,7.97,7212058.0,
Latvia,LVA,2019,15.79,5.87,1916552.0,
Lebanon,LBN,2019,3.31,4.380000000000001,5781912.0,
Lesotho,LSO,2019,42.17,34.32,2225710.0,
Lithuania,LTU,2019,23.87,4.49,2849083.0,
Maldives,MDV,2019,3.77,1.71,504518.0,
Mali,MLI,2019,8.08,18.47,20567430.0,
Monaco,MCO,2019,10.35,0.47,37059.0,
Mozambique,MOZ,2019,15.96,7.709999999999999,30285602.0,
Myanmar,MMR,2019,3.56,2.5200000000000005,53040212.0,
Niger,NER,2019,9.06,12.82,23443400.0,
Nigeria,NGA,2019,7.14,8.66,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Oman,OMN,2019,2.63,0.66,4602769.0,
Pakistan,PAK,2019,8.79,7.0,223293280.0,
Palestine,PSE,2019,2.98,8.46,4909775.0,
Papua New Guinea,PNG,2019,3.59,10.75,9542492.0,
Paraguay,PRY,2019,6.1,11.57,6530029.0,
Peru,PER,2019,2.92,3.25,32824864.0,
Philippines,PHL,2019,4.28,15.06,110380800.0,
Poland,POL,2019,13.68,1.31,38493600.0,
Russia,RUS,2019,22.77,13.08,145742288.0,
Sao Tome and Principe,STP,2019,2.56,5.24,214612.0,
Saudi Arabia,SAU,2019,4.27,0.9,35827364.0,
Singapore,SGP,2019,6.59,0.43,5866408.0,
South Africa,ZAF,2019,13.5,31.79,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,19.54,1.09,51803832.0,
Sri Lanka,LKA,2019,19.19,4.7,21649664.0,
Sudan,SDN,2019,5.71,2.4,43232092.0,
Suriname,SUR,2019,24.12,8.34,600305.0,
Sweden,SWE,2019,10.73,1.13,10267922.0,
Turkey,TUR,2019,2.83,2.15,83481688.0,
United Arab Emirates,ARE,2019,5.31,0.93,9211660.0,
United States,USA,2019,11.67,5.94,334319680.0,
Uzbekistan,UZB,2019,11.34,2.97,32976946.0,
Venezuela,VEN,2019,7.93,38.89,28971686.0,
Vietnam,VNM,2019,7.95,1.25,95776712.0,
Yemen,YEM,2019,6.14,45.92,31546694.0,
