Entity,Code,Year,"Current number of cases of asthma per 100 people, in both sexes aged age-standardized"
Bolivia,BOL,1990,5.3635063
Bolivia,BOL,1995,5.4102635
Bolivia,BOL,2000,4.757839
Bolivia,BOL,2005,4.35662
Bolivia,BOL,2010,4.1999164
Bolivia,BOL,2015,3.9907217
Bolivia,BOL,2019,4.2506866
Cuba,CUB,1990,7.590622
Cuba,CUB,1995,7.455621
Cuba,CUB,2000,7.3048854
Cuba,CUB,2005,7.062979
Cuba,CUB,2010,6.9333863
Cuba,CUB,2015,6.763322
Cuba,CUB,2019,6.9793725
Uganda,UGA,1990,5.822265
Uganda,UGA,1995,5.7992334
Uganda,UGA,2000,5.6816664
Uganda,UGA,2005,5.4897723
Uganda,UGA,2010,4.9802647
Uganda,UGA,2015,4.700021
Uganda,UGA,2019,4.9526196
Uruguay,URY,1990,6.6935563
Uruguay,URY,1995,6.541008
Uruguay,URY,2000,6.020196
Uruguay,URY,2005,5.8331904
Uruguay,URY,2010,5.6813684
Uruguay,URY,2015,5.51215
Uruguay,URY,2019,5.6631937
