Entity,Code,Year,"Deaths that are from all causes attributed to no access to handwashing facility per 100,000 people, in both sexes aged all ages"
Bahrain,BHR,1990,0.53715354
Bahrain,BHR,1995,0.4062086
Bahrain,BHR,2000,0.38013586
Bahrain,BHR,2005,0.41582543
Bahrain,BHR,2010,0.30947837
Bahrain,BHR,2015,0.28857806
Bahrain,BHR,2019,0.32098326
Central African Republic,CAF,1990,122.35446
Central African Republic,CAF,1995,113.53918
Central African Republic,CAF,2000,100.69127
Central African Republic,CAF,2005,88.18973
Central African Republic,CAF,2010,85.11973
Central African Republic,CAF,2015,81.73243
Central African Republic,CAF,2019,72.94294
Dominican Republic,DOM,1990,16.645588
Dominican Republic,DOM,1995,12.54149
Dominican Republic,DOM,2000,8.13345
Dominican Republic,DOM,2005,5.8706675
Dominican Republic,DOM,2010,4.6654267
Dominican Republic,DOM,2015,5.026247
Dominican Republic,DOM,2019,4.1753197
Italy,ITA,1990,0.16647075
Italy,ITA,1995,0.16106337
Italy,ITA,2000,0.17968108
Italy,ITA,2005,0.16365139
Italy,ITA,2010,0.1802727
Italy,ITA,2015,0.22585191
Italy,ITA,2019,0.23607649
Scotland,,1990,0.82399124
Scotland,,1995,0.79341865
Scotland,,2000,0.6838796
Scotland,,2005,0.625993
Scotland,,2010,0.60001934
Scotland,,2015,0.5544726
Scotland,,2019,0.6319902
