Entity,Code,Year,Producer Support (IDB Agrimonitor)
Argentina,ARG,2008,-39.9
Argentina,ARG,2010,-19.1
Argentina,ARG,2012,-18.0
Bolivia,BOL,2006,16.5
Bolivia,BOL,2008,10.2
Brazil,BRA,2004,4.3
Brazil,BRA,2006,6.2
Brazil,BRA,2008,4.0
Brazil,BRA,2010,5.8
Brazil,BRA,2012,3.6
Brazil,BRA,2014,4.4
Chile,CHL,2004,4.7
Chile,CHL,2006,4.5
Chile,CHL,2008,2.7
Chile,CHL,2010,2.6
Chile,CHL,2012,3.0
Chile,CHL,2014,3.1
Colombia,COL,2004,14.2
Colombia,COL,2006,15.2
Colombia,COL,2008,16.2
Colombia,COL,2010,17.3
Colombia,COL,2012,21.1
Colombia,COL,2014,16.6
Costa Rica,CRI,2004,6.8
Costa Rica,CRI,2006,6.3
Costa Rica,CRI,2008,12.0
Costa Rica,CRI,2010,14.0
Costa Rica,CRI,2012,16.1
Dominican Republic,DOM,2006,54.8
Dominican Republic,DOM,2008,36.0
Dominican Republic,DOM,2010,26.2
Dominican Republic,DOM,2012,5.3
Ecuador,ECU,2006,5.8
Ecuador,ECU,2008,4.1
Ecuador,ECU,2010,3.9
Ecuador,ECU,2012,7.0
El Salvador,SLV,2012,24.1
Guatemala,GTM,2006,15.1
Guatemala,GTM,2008,10.6
Guatemala,GTM,2010,7.5
Honduras,HND,2012,19.0
Jamaica,JAM,2006,28.0
Jamaica,JAM,2008,26.7
Jamaica,JAM,2010,31.4
Jamaica,JAM,2012,33.3
Mexico,MEX,2004,11.6
Mexico,MEX,2006,13.0
Mexico,MEX,2008,12.3
Mexico,MEX,2010,12.6
Mexico,MEX,2012,11.7
Mexico,MEX,2014,13.3
Nicaragua,NIC,2010,15.0
Paraguay,PRY,2008,1.1
Paraguay,PRY,2010,1.8
Paraguay,PRY,2012,2.6
Peru,PER,2010,4.6
Peru,PER,2012,5.3
Suriname,SUR,2006,19.0
Suriname,SUR,2008,3.8
Suriname,SUR,2010,22.0
Uruguay,URY,2010,1.6
Uruguay,URY,2012,1.0
