Entity,Code,Year,Share of total population aged 15-64 years with some formal education
Africa,,1870,1.0237427
Africa,,1880,1.5393143
Africa,,1900,2.9457092
Africa,,1920,8.787445
Africa,,1940,14.826637
Africa,,1960,23.018791
Africa,,1980,43.414104
Africa,,2000,62.66571
Africa,,2020,78.17966
Asia,,1870,1.034195
Asia,,1880,1.524292
Asia,,1900,4.3967667
Asia,,1920,11.649498
Asia,,1940,27.446404
Asia,,1960,41.936424
Asia,,1980,62.450794
Asia,,2000,76.91078
Asia,,2020,88.97724
Europe,,1870,25.36811
Europe,,1880,31.302582
Europe,,1900,46.739857
Europe,,1920,64.78075
Europe,,1940,81.75968
Europe,,1960,91.76894
Europe,,1980,95.03904
Europe,,2000,97.539795
Europe,,2020,99.00857
North America,,1870,57.59059
North America,,1880,67.62613
North America,,1900,79.025826
North America,,1920,84.12013
North America,,1940,88.19157
North America,,1960,88.4888
North America,,1980,91.07326
North America,,2000,95.7467
North America,,2020,98.01347
Oceania,,1870,49.05635
Oceania,,1880,58.557228
Oceania,,1900,75.26585
Oceania,,1920,88.18625
Oceania,,1940,95.32129
Oceania,,1960,98.417786
Oceania,,1980,99.007286
Oceania,,2000,99.22604
Oceania,,2020,91.03637
South America,,1870,4.562378
South America,,1880,6.947693
South America,,1900,15.999451
South America,,1920,32.742523
South America,,1940,47.899292
South America,,1960,61.924335
South America,,1980,81.161575
South America,,2000,89.60449
South America,,2020,96.9429
