Entity,Code,Year,Change in male height (%),Change in female height (%),Continent
Afghanistan,AFG,1996,2.5388815,3.94642075,
Albania,ALB,1996,6.161767729,7.705741384,
Algeria,DZA,1996,6.03768192,4.758188195,
American Samoa,ASM,1996,3.729419757,3.997527168,
Andorra,AND,1996,7.756080189,6.865742611,
Angola,AGO,1996,3.169231747,3.082293073,
Antigua and Barbuda,ATG,1996,6.799158327,6.670753748,
Argentina,ARG,1996,7.563547809,5.703524838,
Armenia,ARM,1996,6.267713884,5.652342153,
Australia,AUS,1996,6.071333588,6.666634369,
Azerbaijan,AZE,1996,4.997569074,5.548591241,
Bahrain,BHR,1996,7.039579887,4.697910304,
Bangladesh,BGD,1996,3.295071358,6.577948007,
Barbados,BRB,1996,6.712062355,8.692239462,
Belgium,BEL,1996,8.671206751,6.478879785,
Benin,BEN,1996,2.795829113,1.955711536,
Bosnia and Herzegovina,BIH,1996,7.389369557,7.80250508,
Canada,CAN,1996,4.314917104,3.995715883,
Chad,TCD,1996,3.362093562,2.219285248,
Cook Islands,COK,1996,3.136157694,4.507931426,
Croatia,HRV,1996,7.526335438,10.36115342,
French Polynesia,PYF,1996,4.336903424,5.257865026,
Ghana,GHA,1996,3.988373224,2.99962666,
Greece,GRC,1996,9.106003699,9.500144076,
Greenland,GRL,1996,9.658410591,9.86662544,
Guinea,GIN,1996,2.564398863,2.719799209,
Haiti,HTI,1996,6.768932019,5.999947342,
Honduras,HND,1996,5.063973546,7.192958557,
India,IND,1996,1.843145791,3.121907066,
Indonesia,IDN,1996,5.75893575,5.594718084,
Iran,IRN,1996,10.51389269,7.490621144,
Japan,JPN,1996,9.381432197,11.25927705,
Laos,LAO,1996,4.99354944,4.547696887,
Lebanon,LBN,1996,8.508812893,8.567020465,
Madagascar,MDG,1996,1.805660011,1.004080692,
Marshall Islands,MHL,1996,0.317504743,1.743391788,
Mauritania,MRT,1996,1.091714019,1.782453594,
Niger,NER,1996,2.306424015,1.265426018,
Niue,NIU,1996,4.29002336,8.373336828,
North America,,1996,4.836980029,4.605160804,
Philippines,PHL,1996,5.493983071,1.157663933,
Singapore,SGP,1996,5.960740722,9.021127226,
Solomon Islands,SLB,1996,2.048782662,4.022428667,
South Korea,KOR,1996,9.494622809,14.1804132,
