Entity,Code,Year,"Average effective age of retirement, women (OECD)"
Czechia,CZE,2000,58.0
Czechia,CZE,2010,58.9
Czechia,CZE,2018,61.29999924
Greece,GRC,1970,64.6
Greece,GRC,1980,63.0
Greece,GRC,1990,60.9
Greece,GRC,2000,62.7
Greece,GRC,2010,60.3
Greece,GRC,2018,60.0
Hungary,HUN,1970,68.2
Hungary,HUN,1980,61.8
Hungary,HUN,1990,59.0
Hungary,HUN,2000,55.8
Hungary,HUN,2010,58.9
Hungary,HUN,2018,60.0
Latvia,LVA,2000,59.6
Latvia,LVA,2010,63.6
Latvia,LVA,2018,64.69999695
United Kingdom,GBR,1970,65.7
United Kingdom,GBR,1980,62.6
United Kingdom,GBR,1990,60.7
United Kingdom,GBR,2000,60.9
United Kingdom,GBR,2010,61.9
United Kingdom,GBR,2018,63.59999847
