Entity,Code,Year,13.1.3 - Number of local governments (number) - SG_GOV_LOGV
Afghanistan,AFG,2018,373
Australia,AUS,2018,537
Australia,AUS,2020,342
Australia,AUS,2021,296
Botswana,BWA,2018,32
Chile,CHL,2005,345
Chile,CHL,2006,345
Chile,CHL,2008,345
Chile,CHL,2010,345
Chile,CHL,2012,345
Chile,CHL,2014,345
Chile,CHL,2016,345
Chile,CHL,2018,345
Chile,CHL,2021,345
Egypt,EGY,2005,27
Egypt,EGY,2006,27
Egypt,EGY,2008,27
Egypt,EGY,2010,27
Egypt,EGY,2012,27
Egypt,EGY,2014,27
Egypt,EGY,2016,27
Egypt,EGY,2018,27
Egypt,EGY,2020,27
Egypt,EGY,2021,27
Indonesia,IDN,2012,514
Indonesia,IDN,2014,514
Indonesia,IDN,2016,514
Indonesia,IDN,2018,514
Indonesia,IDN,2020,514
Namibia,NAM,2016,14
Namibia,NAM,2018,57
Namibia,NAM,2020,0
