Entity,Code,Year,Deaths in ongoing conflicts (best estimate) - Conflict type: one-sided violence,Deaths in ongoing conflicts (best estimate) - Conflict type: non-state conflict,Deaths in ongoing conflicts (best estimate) - Conflict type: extrasystemic,Deaths in ongoing conflicts (best estimate) - Conflict type: intrastate,Deaths in ongoing conflicts (best estimate) - Conflict type: interstate
World,OWID_WRL,1989,7992,4170,0,53978,868
World,OWID_WRL,1991,9739,3860,0,48449,21889
World,OWID_WRL,1993,10784,11905,0,44946,0
World,OWID_WRL,1995,20032,4438,0,36006,99
World,OWID_WRL,1997,19791,3506,0,40469,127
World,OWID_WRL,1999,12325,5720,0,32500,48126
World,OWID_WRL,2001,8542,5126,0,21810,1445
World,OWID_WRL,2003,11738,3469,0,14613,8164
World,OWID_WRL,2005,4736,2171,0,12138,0
World,OWID_WRL,2007,4560,4170,0,19212,0
World,OWID_WRL,2009,5613,7395,0,34603,0
World,OWID_WRL,2011,6706,6916,0,25041,29
World,OWID_WRL,2013,11530,5600,0,93451,31
World,OWID_WRL,2015,10915,12829,0,103545,63
World,OWID_WRL,2017,9252,22518,0,71704,151
World,OWID_WRL,2019,5449,20406,0,52125,302
World,OWID_WRL,2022,11846,21137,0,122283,81726
