Entity,Code,Year,"Agricultural machinery, tractors per 100 sq. km of arable land"
East Asia and Pacific (WB),,1961,24.06143
East Asia and Pacific (WB),,1970,47.936344
East Asia and Pacific (WB),,1980,144.0265
East Asia and Pacific (WB),,1990,162.931
Europe and Central Asia (WB),,2000,329.53104
Latin America and Caribbean (WB),,1961,43.151524
Latin America and Caribbean (WB),,1970,63.369476
Latin America and Caribbean (WB),,1980,89.49881
Latin America and Caribbean (WB),,1990,127.14126
Middle East and North Africa (WB),,1961,17.533102
Middle East and North Africa (WB),,1970,31.987118
Middle East and North Africa (WB),,1980,66.84715
Middle East and North Africa (WB),,1990,114.64483
Middle East and North Africa (WB),,2000,163.6171
North America (WB),,1961,241.19957
North America (WB),,1970,258.16528
North America (WB),,1980,235.03206
North America (WB),,1990,228.00699
North America (WB),,2000,241.87155
North America (WB),,2006,253.9759
South Asia (WB),,1961,2.0582125
South Asia (WB),,1970,6.544678
South Asia (WB),,1980,23.377687
South Asia (WB),,1990,59.20038
South Asia (WB),,2000,116.17824
South Asia (WB),,2006,97.62402
Sub-Saharan Africa (WB),,1961,14.27566
Sub-Saharan Africa (WB),,1970,18.060534
Sub-Saharan Africa (WB),,1980,26.810297
World,OWID_WRL,1961,98.532074
World,OWID_WRL,1970,132.59595
World,OWID_WRL,1980,181.09984
