Entity,Code,Year,"PPP conversion factor, private consumption (LCU per international $)"
Azerbaijan,AZE,1995,0.18848242
Azerbaijan,AZE,2000,0.19141959
Azerbaijan,AZE,2005,0.21076381
Azerbaijan,AZE,2010,0.30934143
Azerbaijan,AZE,2015,0.35925293
Azerbaijan,AZE,2021,0.50661194
Gambia,GMB,1990,6.0281887
Gambia,GMB,1995,7.1222863
Gambia,GMB,2000,6.9326925
Gambia,GMB,2005,9.721294
Gambia,GMB,2010,10.740971
Gambia,GMB,2015,13.570159
Gambia,GMB,2021,17.743547
Mongolia,MNG,1995,125.00902
Mongolia,MNG,2000,291.28174
Mongolia,MNG,2005,353.32208
Mongolia,MNG,2010,552.49585
Mongolia,MNG,2015,807.4366
Mongolia,MNG,2021,1009.27405
Saudi Arabia,SAU,1990,1.7309722
Saudi Arabia,SAU,1995,1.6573703
Saudi Arabia,SAU,2000,1.4437331
Saudi Arabia,SAU,2005,1.2822504
Saudi Arabia,SAU,2010,1.4866518
Saudi Arabia,SAU,2015,1.6567888
Saudi Arabia,SAU,2021,1.6675231
