Entity,Code,Year,"Homicide rate per 100,000 population - Male - All ages"
Kazakhstan,KAZ,2010,13.176871
Kazakhstan,KAZ,2015,7.0584946
North Macedonia,MKD,2000,3.455238
North Macedonia,MKD,2005,3.3353417
North Macedonia,MKD,2010,2.6761236
North Macedonia,MKD,2015,2.1858392
Oman,OMN,2015,0.4420864
Oman,OMN,2021,0.2896695
Saint Kitts and Nevis,KNA,1997,18.509521
Saint Kitts and Nevis,KNA,2010,81.51008
Saint Kitts and Nevis,KNA,2021,56.4849
Trinidad and Tobago,TTO,2005,51.271404
Trinidad and Tobago,TTO,2010,60.35608
Trinidad and Tobago,TTO,2015,54.335743
