Entity,Code,Year,"4.b.1 - Total official flows for scholarships, by recipient countries (millions of constant 2021 United States dollars) - DC_TOF_SCHIPSL"
Central African Republic,CAF,2006,570000.0
Central African Republic,CAF,2008,1040000.0
Central African Republic,CAF,2010,1200000.0
Central African Republic,CAF,2012,890000.0
Central African Republic,CAF,2014,1380000.0
Central African Republic,CAF,2016,1340000.0
Central African Republic,CAF,2018,2580000.0
Central African Republic,CAF,2020,3250000.0
Central African Republic,CAF,2021,2290000.0
China,CHN,2006,12100000.0
China,CHN,2008,34900000.0
China,CHN,2010,274600000.0
China,CHN,2012,107270000.0
China,CHN,2014,32530000.0
China,CHN,2016,20230000.0
China,CHN,2018,25060000.0
China,CHN,2020,37230000.0
China,CHN,2021,17570000.0
Fiji,FJI,2006,3560000.0
Fiji,FJI,2008,1190000.0
Fiji,FJI,2010,7180000.0
Fiji,FJI,2012,4950000.0
Fiji,FJI,2014,6060000.0
Fiji,FJI,2016,5610000.0
Fiji,FJI,2018,7060000.0
Fiji,FJI,2020,6170000.0
Fiji,FJI,2021,1380000.0
Peru,PER,2006,740000.0
Peru,PER,2008,6190000.0
Peru,PER,2010,2850000.0
Peru,PER,2012,3250000.0
Peru,PER,2014,3730000.0
Peru,PER,2016,2600000.0
Peru,PER,2018,3490000.0
Peru,PER,2020,4290000.0
Peru,PER,2021,3800000.0
Syria,SYR,2006,860000.0
Syria,SYR,2008,1950000.0
Syria,SYR,2010,3170000.0
Syria,SYR,2012,3020000.0
Syria,SYR,2014,5670000.0
Syria,SYR,2016,16940000.0
Syria,SYR,2018,16880000.0
Syria,SYR,2020,17680000.0
Syria,SYR,2021,23660000.0
