Entity,Code,Year,Electricity from solar and wind - TWh
Austria,AUT,1990,0.0
Austria,AUT,2000,0.07
Austria,AUT,2010,2.1499999
Austria,AUT,2022,9.89
Bolivia,BOL,2000,0.0
Bolivia,BOL,2010,0.0
Bolivia,BOL,2022,0.97
Kenya,KEN,2000,0.0
Kenya,KEN,2010,0.02
Kenya,KEN,2022,1.98
Lithuania,LTU,1990,0.0
Lithuania,LTU,2000,0.0
Lithuania,LTU,2010,0.22
Lithuania,LTU,2022,2.02
Montserrat,MSR,2000,0.0
Montserrat,MSR,2010,0.0
Qatar,QAT,1971,0.0
Qatar,QAT,1980,0.0
Qatar,QAT,1990,0.0
Qatar,QAT,2000,0.0
Qatar,QAT,2010,0.0
Qatar,QAT,2022,0.01
South Korea,KOR,1971,0.0
South Korea,KOR,1980,0.0
South Korea,KOR,1990,0.001
South Korea,KOR,2000,0.02
South Korea,KOR,2010,1.5899999
South Korea,KOR,2022,32.46
