Entity,Code,Year,Neonates protected at birth against neonatal tetanus (PAB) (%)
Brazil,BRA,1990,63
Brazil,BRA,1995,78
Brazil,BRA,2000,92
Brazil,BRA,2005,67
Brazil,BRA,2010,92
Brazil,BRA,2015,93
Brazil,BRA,2020,96
Djibouti,DJI,1985,14
Djibouti,DJI,1990,80
Djibouti,DJI,1995,62
Djibouti,DJI,2000,46
Djibouti,DJI,2005,71
Djibouti,DJI,2010,79
Djibouti,DJI,2015,80
Djibouti,DJI,2020,98
Dominican Republic,DOM,1980,23
Dominican Republic,DOM,1985,33
Dominican Republic,DOM,1990,60
Dominican Republic,DOM,1995,82
Dominican Republic,DOM,2000,48
Dominican Republic,DOM,2005,75
Dominican Republic,DOM,2010,87
Dominican Republic,DOM,2015,90
Dominican Republic,DOM,2020,99
Malawi,MWI,1985,26
Malawi,MWI,1990,81
Malawi,MWI,1995,87
Malawi,MWI,2000,84
Malawi,MWI,2005,86
Malawi,MWI,2010,87
Malawi,MWI,2015,89
Malawi,MWI,2020,90
Senegal,SEN,1985,7
Senegal,SEN,1990,45
Senegal,SEN,1995,54
Senegal,SEN,2000,62
Senegal,SEN,2005,80
Senegal,SEN,2010,88
Senegal,SEN,2015,91
Senegal,SEN,2020,95
Seychelles,SYC,1990,100
Seychelles,SYC,1995,100
Seychelles,SYC,2000,100
Seychelles,SYC,2005,100
Seychelles,SYC,2010,100
Seychelles,SYC,2015,100
Seychelles,SYC,2020,100
