Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles
High-income countries,,1990,1.2862871
High-income countries,,1995,1.0055332
High-income countries,,2000,0.8185562
High-income countries,,2005,0.7094277
High-income countries,,2010,0.61195517
High-income countries,,2015,0.54583603
High-income countries,,2021,0.48749867
Low-income countries,,1990,18.535782
Low-income countries,,1995,16.897942
Low-income countries,,2000,14.601288
Low-income countries,,2005,11.724727
Low-income countries,,2010,9.480949
Low-income countries,,2015,8.084887
Low-income countries,,2021,6.7406783
Lower-middle-income countries,,1990,11.994043
Lower-middle-income countries,,1995,10.747474
Lower-middle-income countries,,2000,9.280966
Lower-middle-income countries,,2005,7.7046685
Lower-middle-income countries,,2010,6.373421
Lower-middle-income countries,,2015,5.282653
Lower-middle-income countries,,2021,4.3651476
Upper-middle-income countries,,1990,5.2167654
Upper-middle-income countries,,1995,4.462596
Upper-middle-income countries,,2000,3.5267277
Upper-middle-income countries,,2005,2.5998068
Upper-middle-income countries,,2010,1.8660583
Upper-middle-income countries,,2015,1.4213719
Upper-middle-income countries,,2021,1.1750195
