Entity,Code,Year,"Government expenditure on education, total (% of government expenditure)","Government expenditure on education, total (% of GDP)",Population (historical estimates),Continent
Angola,AGO,2022,6.640472,2.332126,,
Bangladesh,BGD,2022,11.734288,1.9727862,,
Bhutan,BTN,2022,19.653934,8.1417885,,
Bolivia,BOL,2022,10.791612,,,
Burundi,BDI,2022,20.637083,,,
Canada,CAN,2022,11.054688,4.1395717,,
Chad,TCD,2022,16.72261,2.538673,,
Democratic Republic of Congo,COD,2022,18.408024,3.0025213,,
Dominica,DMA,2022,6.412837,5.132939,,
Ethiopia,ETH,2022,23.006403,3.736495,,
Gabon,GAB,2022,13.803379,2.2077365,,
Haiti,HTI,2022,13.124044,1.2746689,,
Kiribati,KIR,2022,18.898573,,,
Laos,LAO,2022,9.074737,1.3938503,,
Lower-middle-income countries,,2022,13.112776,3.24027,,
Malaysia,MYS,2022,20.14968,3.5055494,,
Morocco,MAR,2022,23.865665,5.768208,,
Namibia,NAM,2022,24.70692,9.358892,,
Nauru,NRU,2022,6.9844923,8.325758,,
Niger,NER,2022,12.371451,4.101431,,
Pakistan,PAK,2022,9.404404,1.974449,,
Sierra Leone,SLE,2022,,3.0467637,,
South Africa,ZAF,2022,19.75004,6.18348,,
Sri Lanka,LKA,2022,5.3458304,1.199786,,
Uzbekistan,UZB,2022,21.851019,5.283541,,
