Entity,Code,Year,"Deaths that are from all causes attributed to high body-mass index per 100,000 people, in both sexes aged all ages"
Armenia,ARM,1990,63.164593
Armenia,ARM,1995,82.5609
Armenia,ARM,2000,94.501396
Armenia,ARM,2005,115.69346
Armenia,ARM,2010,134.92479
Armenia,ARM,2015,140.35616
Armenia,ARM,2019,147.80428
Australia,AUS,1990,73.77979
Australia,AUS,1995,73.04806
Australia,AUS,2000,71.78616
Australia,AUS,2005,69.77482
Australia,AUS,2010,70.0543
Australia,AUS,2015,71.19073
Australia,AUS,2019,76.1658
Montenegro,MNE,1990,110.33408
Montenegro,MNE,1995,128.95357
Montenegro,MNE,2000,148.71729
Montenegro,MNE,2005,172.96005
Montenegro,MNE,2010,180.59201
Montenegro,MNE,2015,194.46873
Montenegro,MNE,2019,196.41832
