Entity,Code,Year,Share of industry in GDP at constant 2005 prices (GGDC),GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,2005,,,,927898412.0,
Africa,,2011,,,,1082676070.0,
Africa,,2012,,,,1110797495.0,
Argentina,ARG,2005,38.0,15344.157,,39070504.0,
Argentina,ARG,2011,36.1,20003.0,,41520736.0,
Argentina,ARG,2012,,19599.0,,41952364.0,
Asia,,2005,,,,3979329053.0,
Asia,,2011,,,,4268479060.0,
Asia,,2012,,,,4317165429.0,
Brazil,BRA,2005,28.0,11305.771,,186797344.0,
Brazil,BRA,2011,26.2,14831.0,,198185296.0,
Brazil,BRA,2012,,14985.0,,199977712.0,
China,CHN,2005,45.7,6626.592,,1304887552.0,
China,CHN,2011,,10221.0,,1357095424.0,
China,CHN,2012,,10680.0,,1366560768.0,
Denmark,DNK,2005,29.3,42264.63,,5436314.0,
Denmark,DNK,2011,,43575.0,,5576016.0,
Denmark,DNK,2012,,43510.0,,5600955.0,
Egypt,EGY,2005,35.8,8021.8833,,79075312.0,
Egypt,EGY,2011,34.0,10737.0,,89200056.0,
Egypt,EGY,2012,34.8,10767.0,,91240384.0,
Ethiopia,ETH,2005,11.5,829.2432,,77469944.0,
Ethiopia,ETH,2011,11.8,1199.0,,91817936.0,
Ethiopia,ETH,2012,12.2,1287.0,,94451280.0,
Europe,,2005,,,,729987229.0,
Europe,,2011,,,,738734474.0,
Europe,,2012,,,,740063831.0,
Ghana,GHA,2005,19.0,2411.2876,,22496952.0,
Ghana,GHA,2011,25.8,3283.0,,26205940.0,
Ghana,GHA,2012,,3508.0,,26858760.0,
Hong Kong,HKG,2005,6.4,38191.9,,6936872.0,
Hong Kong,HKG,2011,5.0,44532.0,,7175370.0,
Hong Kong,HKG,2012,,44904.0,,7234062.0,
India,IND,2005,28.0,3396.6487,,1154638720.0,
India,IND,2011,28.4,4768.0,,1257621248.0,
India,IND,2012,27.9,4932.0,,1274487168.0,
Indonesia,IDN,2005,46.8,6482.012,,228805152.0,
Indonesia,IDN,2011,43.9,8849.0,,247099696.0,
Indonesia,IDN,2012,43.5,9285.0,,250222688.0,
Japan,JPN,2005,30.5,34857.754,,127798376.0,
Japan,JPN,2011,29.9,34979.0,,128007256.0,
Japan,JPN,2012,,35580.0,,127853688.0,
Kenya,KEN,2005,17.2,2157.8416,,35843016.0,
Kenya,KEN,2011,18.0,2712.0,,42635148.0,
Kenya,KEN,2012,,2765.0,,43725808.0,
Malawi,MWI,2005,15.2,920.0499,,12755647.0,
Malawi,MWI,2011,,1102.0,,15146095.0,
Malawi,MWI,2012,,1085.0,,15581250.0,
Malaysia,MYS,2005,45.4,15651.118,,25923540.0,
Malaysia,MYS,2011,38.3,19390.0,,29184140.0,
Malaysia,MYS,2012,,20134.0,,29660216.0,
Mauritius,MUS,2005,26.5,14725.164,,1258050.0,
Mauritius,MUS,2011,25.4,16483.0,,1286239.0,
Mauritius,MUS,2012,24.8,16893.0,,1288753.0,
Mexico,MEX,2005,35.9,13655.801,,105442400.0,
Mexico,MEX,2011,33.2,15210.0,,114150480.0,
Mexico,MEX,2012,,15639.0,,115755912.0,
Morocco,MAR,2005,24.0,5708.0312,,30431898.0,
Morocco,MAR,2011,22.3,7226.0,,32903708.0,
Morocco,MAR,2012,22.0,7365.0,,33352166.0,
Netherlands,NLD,2005,26.3,40679.49,,16261834.0,
Netherlands,NLD,2011,,44591.0,,16701470.0,
Netherlands,NLD,2012,,43957.0,,16785296.0,
Nigeria,NGA,2005,46.4,3347.8206,,140490720.0,
Nigeria,NGA,2011,34.1,5136.0,,165463744.0,
Nigeria,NGA,2012,,5223.0,,170075936.0,
North America,,2005,,,,514942529.0,
North America,,2011,,,,548684151.0,
North America,,2012,,,,554435782.0,
Peru,PER,2005,33.1,7091.1333,,28147260.0,
Peru,PER,2011,31.7,10044.0,,29477722.0,
Peru,PER,2012,,10533.0,,29749592.0,
Philippines,PHL,2005,31.4,4721.0005,,86261248.0,
Philippines,PHL,2011,32.0,5851.0,,96337912.0,
Philippines,PHL,2012,31.4,6144.0,,98032320.0,
Senegal,SEN,2005,22.1,2121.1587,,10974066.0,
Senegal,SEN,2011,,2123.0,,12875878.0,
Senegal,SEN,2012,,2163.0,,13231840.0,
Singapore,SGP,2005,29.8,44698.84,,4344645.0,
Singapore,SGP,2011,32.0,61672.0,,5281351.0,
Singapore,SGP,2012,32.0,62783.0,,5381003.0,
South America,,2005,,,,372502549.0,
South America,,2011,,,,397135158.0,
South America,,2012,,,,401166879.0,
Tanzania,TZA,2005,21.9,1554.1523,,39439508.0,
Tanzania,TZA,2011,24.3,2227.0,,46416032.0,
Tanzania,TZA,2012,,2275.0,,47786136.0,
Thailand,THA,2005,42.4,11742.128,,65821360.0,
Thailand,THA,2011,42.2,13318.0,,68712848.0,
Thailand,THA,2012,,14227.0,,69157024.0,
United Kingdom,GBR,2005,25.2,35623.625,,60383740.0,
United Kingdom,GBR,2011,,34971.0,,63286360.0,
United Kingdom,GBR,2012,,35185.0,,63808728.0,
United States,USA,2005,19.2,49654.76,,296842656.0,
United States,USA,2011,,49675.0,,313876608.0,
United States,USA,2012,,50394.0,,316651328.0,
Venezuela,VEN,2005,58.3,14944.34,,26668790.0,
Venezuela,VEN,2011,52.3,17746.0,,29096158.0,
Venezuela,VEN,2012,52.3,18549.0,,29470428.0,
Zambia,ZMB,2005,27.1,1970.0187,,11564874.0,
Zambia,ZMB,2011,,3205.0,,14265824.0,
Zambia,ZMB,2012,,3350.0,,14744662.0,
