Entity,Code,Year,Deaths - Opioid use disorders - Sex: Both - Age: All Ages (Percent)
Burkina Faso,BFA,1990,0.01
Burkina Faso,BFA,1995,0.01
Burkina Faso,BFA,2000,0.01
Burkina Faso,BFA,2005,0.01
Burkina Faso,BFA,2010,0.02
Burkina Faso,BFA,2015,0.02
Burkina Faso,BFA,2019,0.03
Dominican Republic,DOM,1990,0.01
Dominican Republic,DOM,1995,0.01
Dominican Republic,DOM,2000,0.01
Dominican Republic,DOM,2005,0.01
Dominican Republic,DOM,2010,0.01
Dominican Republic,DOM,2015,0.02
Dominican Republic,DOM,2019,0.02
Sweden,SWE,1990,0.07
Sweden,SWE,1995,0.11
Sweden,SWE,2000,0.18
Sweden,SWE,2005,0.18
Sweden,SWE,2010,0.23
Sweden,SWE,2015,0.32
Sweden,SWE,2019,0.37
United States,USA,1990,0.2
United States,USA,1995,0.28
United States,USA,2000,0.44
United States,USA,2005,0.76
United States,USA,2010,0.96
United States,USA,2015,1.35
United States,USA,2019,1.61
