Entity,Code,Year,Deaths - Amphetamine use disorders - Sex: Both - Age: Age-standardized (Rate)
Portugal,PRT,1990,0.02
Portugal,PRT,1995,0.05
Portugal,PRT,2000,0.04
Portugal,PRT,2005,0.02
Portugal,PRT,2010,0.02
Portugal,PRT,2015,0.01
Portugal,PRT,2019,0.02
Russia,RUS,1990,0.12
Russia,RUS,1995,0.27
Russia,RUS,2000,0.38
Russia,RUS,2005,0.53
Russia,RUS,2010,0.4
Russia,RUS,2015,0.26
Russia,RUS,2019,0.18
United Arab Emirates,ARE,1990,0.12
United Arab Emirates,ARE,1995,0.18
United Arab Emirates,ARE,2000,0.25
United Arab Emirates,ARE,2005,0.28
United Arab Emirates,ARE,2010,0.32
United Arab Emirates,ARE,2015,0.36
United Arab Emirates,ARE,2019,0.38
United Kingdom,GBR,1990,0.08
United Kingdom,GBR,1995,0.09
United Kingdom,GBR,2000,0.12
United Kingdom,GBR,2005,0.17
United Kingdom,GBR,2010,0.2
United Kingdom,GBR,2015,0.2
United Kingdom,GBR,2019,0.2
United States,USA,1990,0.08
United States,USA,1995,0.12
United States,USA,2000,0.23
United States,USA,2005,0.42
United States,USA,2010,0.49
United States,USA,2015,0.82
United States,USA,2019,1.27
World,OWID_WRL,1990,0.13
World,OWID_WRL,1995,0.17
World,OWID_WRL,2000,0.16
World,OWID_WRL,2005,0.09
World,OWID_WRL,2010,0.08
World,OWID_WRL,2015,0.09
World,OWID_WRL,2019,0.11
