Entity,Code,Year,Soybeans | 00000236 || Production | 005510 || tonnes
Argentina,ARG,1961,957.0
Argentina,ARG,1970,26800.0
Argentina,ARG,1980,3500000.0
Argentina,ARG,1990,10700000.0
Argentina,ARG,2000,20135800.0
Argentina,ARG,2010,52675464.0
Argentina,ARG,2021,46217910.0
Brazil,BRA,1961,271488.0
Brazil,BRA,1970,1508540.0
Brazil,BRA,1980,15155804.0
Brazil,BRA,1990,19897804.0
Brazil,BRA,2000,32820826.0
Brazil,BRA,2010,68756344.0
Brazil,BRA,2021,134934930.0
Canada,CAN,1961,180443.0
Canada,CAN,1970,282628.0
Canada,CAN,1980,690000.0
Canada,CAN,1990,1262000.0
Canada,CAN,2000,2703000.0
Canada,CAN,2010,4444600.0
Canada,CAN,2021,6271835.0
China,CHN,1961,6210000.0
China,CHN,1970,8710000.0
China,CHN,1980,7940000.0
China,CHN,1990,11000000.0
China,CHN,2000,15409000.0
China,CHN,2010,15083300.0
China,CHN,2021,16400000.0
France,FRA,1980,18000.0
France,FRA,1990,245000.0
France,FRA,2000,201033.0
France,FRA,2010,140059.2
France,FRA,2021,439350.0
United States,USA,1961,18468000.0
United States,USA,1970,30675152.0
United States,USA,1980,48921904.0
United States,USA,1990,52416000.0
United States,USA,2000,75055290.0
United States,USA,2010,90663290.0
United States,USA,2021,120707230.0
