Entity,Code,Year,1.5.3 - Score of adoption and implementation of national DRR strategies in line with the Sendai Framework - SG_DSR_LGRGSR
China,CHN,2020,1.0
India,IND,2018,0.93
India,IND,2020,1.0
Indonesia,IDN,2018,0.0
Indonesia,IDN,2020,0.88
Japan,JPN,2011,1.0
Japan,JPN,2012,1.0
Japan,JPN,2014,1.0
Japan,JPN,2016,1.0
Japan,JPN,2018,1.0
Japan,JPN,2020,1.0
Japan,JPN,2021,1.0
Pakistan,PAK,2016,0.43
Pakistan,PAK,2018,0.43
Pakistan,PAK,2020,0.8
United States,USA,2016,0.9
United States,USA,2018,0.75
United States,USA,2020,0.75
