Entity,Code,Year,"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Upper secondary - Both sexes"
Central and Southern Asia (UN),,2019,80.87
Central and Southern Asia (UN),,2020,85.49
Europe and Northern America (UN),,2020,90.47
Latin America and the Caribbean (UN),,2019,77.49
Latin America and the Caribbean (UN),,2020,77.1
Northern Africa (UN),,2019,89.35
Northern Africa (UN),,2020,87.27
Northern America (UN),,2019,98.03
Northern America (UN),,2020,97.82
Sub-Saharan Africa (UN),,2019,64.88
World,OWID_WRL,2019,84.93
World,OWID_WRL,2020,85.05
